State,Price of Care as a Percentage of Income.Avg Annual Price.Infant,Price of Care as a Percentage of Income.Poverty Level.Infant,Price of Care as a Percentage of Income.150% of Poverty Level.Infant,Price of Care as a Percentage of Income.200% of Poverty Level.Infant,Price of Care as a Percentage of Income.Avg Annual Price.2 Children,Price of Care as a Percentage of Income.Poverty Level.2 Children,Price of Care as a Percentage of Income.150% of Poverty Level.2 Children,Price of Care as a Percentage of Income.200% of Poverty Level.2 Children
Alabama*,"$7,670",29.7%,19.8%,14.9%,"$15,002",48.1%,32.1%,24.0%
Alaska,"$10,809",33.5%,22.3%,16.7%,"$19,419",49.8%,33.2%,24.9%
Arizona*,"$10,920",42.3%,28.2%,21.1%,"$21,320",68.3%,45.6%,34.2%
Arkansas,"$7,963",30.8%,20.6%,15.4%,"$15,708",50.3%,33.6%,25.2%
California*,"$19,022",73.7%,49.1%,36.8%,"$35,785",114.7%,76.5%,57.3%
Colorado,"$13,666",52.9%,35.3%,26.5%,"$26,496",84.9%,56.6%,42.5%
Connecticut,"$14,305",55.4%,36.9%,27.7%,"$27,506",88.2%,58.8%,44.1%
Delaware,"$10,997",42.6%,28.4%,21.3%,"$20,965",67.2%,44.8%,33.6%
District of Columbia,"$21,382",82.8%,55.2%,41.4%,"$41,067",131.6%,87.8%,65.8%
Florida*,"$11,201",43.4%,28.9%,21.7%,"$19,793",63.4%,42.3%,31.7%
Georgia,"$8,407",32.6%,21.7%,16.3%,"$16,209",52.0%,34.6%,26.0%
Hawaii,"$11,632",43.6%,29.1%,21.8%,"$22,660",63.2%,42.1%,31.6%
Idaho*,"$7,380",28.6%,19.1%,14.3%,"$14,532",46.6%,31.1%,23.3%
Illinois*,"$12,283",47.6%,31.7%,23.8%,"$22,722",72.8%,48.6%,36.4%
Indiana,"$9,508",36.8%,24.5%,18.4%,"$17,978",57.6%,38.4%,28.8%
Iowa,"$8,596",33.3%,22.2%,16.6%,"$16,881",54.1%,36.1%,27.1%
Kansas,"$7,639",29.6%,19.7%,14.8%,"$15,389",49.3%,32.9%,24.7%
Kentucky,"$9,880",38.3%,25.5%,19.1%,"$19,240",61.7%,41.1%,30.8%
Louisiana*,NA,0.0%,0.0%,0.0%,NA,0.0%,0.0%,0.0%
Maine*,"$11,830",45.8%,30.5%,22.9%,"$22,620",72.5%,48.3%,36.3%
Maryland,"$15,919",61.7%,41.1%,30.8%,"$29,335",94.0%,62.7%,47.0%
Massachusetts,"$17,510",67.8%,45.2%,33.9%,"$32,566",104.4%,69.6%,52.2%
Michigan,"$9,458",36.6%,24.4%,18.3%,"$19,813",63.5%,42.3%,31.8%
Minnesota,"$9,821",38.0%,25.4%,19.0%,"$18,799",60.3%,40.2%,30.1%
Mississippi*,"$6,188",24.0%,16.0%,12.0%,"$11,908",38.2%,25.4%,19.1%
Missouri,"$9,984",38.7%,25.8%,19.3%,"$18,304",58.7%,39.1%,29.3%
Montana,"$11,700",45.3%,30.2%,22.7%,"$22,100",70.8%,47.2%,35.4%
Nebraska,"$13,383",51.8%,34.6%,25.9%,"$26,766",85.8%,57.2%,42.9%
Nevada,"$9,703",37.6%,25.1%,18.8%,"$18,685",59.9%,39.9%,29.9%
New Hampshire*,"$11,708",45.3%,30.2%,22.7%,"$23,126",74.1%,49.4%,37.1%
New Jersey*,"$12,502",48.4%,32.3%,24.2%,"$23,615",75.7%,50.5%,37.8%
New York,"$16,415",63.6%,42.4%,31.8%,"$32,031",102.7%,68.4%,51.3%
North Carolina,"$9,961",38.6%,25.7%,19.3%,"$19,008",60.9%,40.6%,30.5%
North Dakota,"$10,141",39.3%,26.2%,19.6%,"$19,614",62.9%,41.9%,31.4%
Ohio,"$10,556",40.9%,27.3%,20.4%,"$19,604",62.8%,41.9%,31.4%
Oklahoma,"$9,399",36.4%,24.3%,18.2%,"$17,976",57.6%,38.4%,28.8%
Oregon,"$15,808",61.2%,40.8%,30.6%,"$29,536",94.7%,63.1%,47.3%
Pennsylvania*,"$10,994",42.6%,28.4%,21.3%,"$20,679",66.3%,44.2%,33.1%
Rhode Island*,"$14,300",55.4%,36.9%,27.7%,"$27,300",87.5%,58.3%,43.8%
South Carolina,"$8,126",31.5%,21.0%,15.7%,"$15,349",49.2%,32.8%,24.6%
South Dakota,"$6,822",26.4%,17.6%,13.2%,"$13,457",43.1%,28.8%,21.6%
Tennessee*,"$9,415",36.5%,24.3%,18.2%,"$18,104",58.0%,38.7%,29.0%
Texas*,"$10,010",38.8%,25.8%,19.4%,"$19,592",62.8%,41.9%,31.4%
Utah,"$10,800",41.8%,27.9%,20.9%,"$18,960",60.8%,40.5%,30.4%
Vermont*,"$12,395",48.0%,32.0%,24.0%,"$24,213",77.6%,51.7%,38.8%
Virginia,"$13,052",50.5%,33.7%,25.3%,"$25,168",80.7%,53.8%,40.3%
Washington,"$18,000",69.7%,46.5%,34.9%,"$32,556",104.3%,69.6%,52.2%
West Virginia*,"$8,565",33.2%,22.1%,16.6%,"$16,327",52.3%,34.9%,26.2%
Wisconsin*,"$12,319",47.7%,31.8%,23.9%,"$23,407",75.0%,50.0%,37.5%
Wyoming*,"$10,704",41.5%,27.6%,20.7%,"$20,451",65.5%,43.7%,32.8%
