Rank,State,Median Income.Single Parent,School-Age Care.Price,School-Age Care.% of Income,Care for Two Children.Price,Care for Two Children.% of Income
1,Massachusetts,"$42,380","$17,944",56.5%,"$47,012",110.9%
2,New York,"$40,903","$12,447",40.6%,"$37,783",92.4%
3,Washington,"$42,108","$5,196",16.5%,"$38,256",90.9%
4,Illinois,"$41,288","$4,538",14.7%,"$37,045",89.7%
5,Rhode Island*,"$39,134","$10,920",37.2%,"$34,698",88.7%
6,California*,"$45,721","$10,627",31.0%,"$39,293",85.9%
7,District of Columbia,"$55,536",NR,,"$47,174",84.9%
8,New Jersey*,"$44,800","$5,990",17.8%,"$37,717",84.2%
9,Kentucky,"$28,400","$5,850",27.5%,"$23,452",82.6%
10,Wisconsin,"$40,428","$6,226",20.5%,"$33,002",81.6%
11,Indiana,"$35,871","$6,394",23.8%,"$29,009",80.9%
12,Minnesota,"$44,713",NA,,"$36,154",80.9%
13,Vermont,"$43,136","$6,442",19.9%,"$34,586",80.2%
14,Oregon,"$41,753",NR,,"$32,760",78.5%
15,Connecticut,"$43,073","$5,967",18.5%,"$33,789",78.4%
16,Nebraska,"$42,047",NR,,"$32,916",78.3%
17,Maryland,"$52,696","$10,226",25.9%,"$40,832",77.5%
18,Hawaii,"$49,190","$7,402",20.1%,"$38,107",77.5%
19,Ohio,"$34,414","$6,435",24.9%,"$25,532",74.2%
20,Colorado,"$48,348","$8,292",22.9%,"$35,779",74.0%
21,Tennessee,"$32,391","$4,402",18.1%,"$23,966",74.0%
22,Pennsylvania*,"$37,131","$7,937",28.5%,"$27,364",73.7%
23,Maine*,"$40,736","$7,683",25.1%,"$29,874",73.3%
24,Louisiana*,"$27,790","$5,841",28.0%,"$20,225",72.8%
25,Michigan,"$35,603","$5,468",20.5%,"$25,699",72.2%
26,Wyoming*,"$33,303","$6,249",25.0%,"$24,013",72.1%
27,Virginia,"$42,879","$5,772",17.9%,"$30,680",71.6%
28,Montana,"$41,602","$4,875",15.6%,"$29,380",70.6%
29,West Virginia*,"$29,974",NR,,"$19,807",66.1%
30,Delaware,"$45,405","$5,476",16.1%,"$29,835",65.7%
31,North Dakota,"$35,660",NR,,"$23,168",65.0%
32,New Hampshire,"$45,086","$4,826",14.3%,"$29,082",64.5%
33,Kansas,"$37,850","$2,254",7.9%,"$24,373",64.4%
34,Oklahoma,"$31,574","$7,326",30.9%,"$20,224",64.1%
35,North Carolina,"$36,181","$5,811",21.4%,"$22,751",62.9%
36,Arizona,"$44,148","$5,850",17.7%,"$27,644",62.6%
37,Nevada,"$39,499","$6,140",20.7%,"$23,264",58.9%
38,Missouri,"$39,986","$4,056",13.5%,"$23,348",58.4%
39,Iowa,"$39,543","$3,572",12.0%,"$22,794",57.6%
40,South Carolina,"$35,510","$8,277",31.1%,"$20,166",56.8%
41,Alabama*,"$29,497","$5,226",23.6%,"$16,640",56.4%
42,Texas*,"$38,384","$6,782",23.6%,"$21,574",56.2%
43,Arkansas,"$31,747","$3,397",14.3%,"$17,498",55.1%
44,Florida*,"$41,114","$5,238",17.0%,"$22,420",54.5%
45,Mississippi*,"$26,911","$4,290",21.3%,"$14,560",54.1%
46,Utah,"$44,502","$5,940",17.8%,"$24,036",54.0%
47,Georgia,"$38,311","$6,568",22.9%,"$20,639",53.9%
48,Idaho,"$41,533","$6,444",20.7%,"$19,809",47.7%
49,Alaska,"$46,867","$6,324",18.0%,"$21,990",46.9%
50,South Dakota,"$37,415","$5,460",19.5%,"$16,702",44.6%
