Rank,State,Annual Price.Center-Based Program.Before/After School Care,Annual Price.Center-Based Program.Full-Time Summer Care,Single-Parent Family.Median Income,Single-Parent Family.% of Median Income,Married-Couple Family.Median Income,Married-Couple Family.% of Median Income
1,Massachusetts,"$17,944","$3,918","$31,785",56.45%,"$132,776",13.51%
2,New York,"$12,447",NR,"$30,677.25",40.57%,"$105,842",11.76%
3,Rhode Island*,"$10,920","$3,640","$29,350.50",37.21%,"$105,916",10.31%
4,California*,"$10,627","$3,542","$34,290.75",30.99%,"$104,039",10.21%
5,South Carolina,"$8,277",NR,"$26,632.50",31.08%,"$83,171",9.95%
6,Oklahoma,"$7,326",NR,"$23,680.50",30.94%,"$76,207",9.61%
7,Maine*,"$7,683","$2,561","$30,552",25.15%,"$89,268",8.61%
8,Maryland,"$10,226",NR,"$39,522",25.87%,"$119,933",8.53%
9,Pennsylvania*,"$7,937","$2,645","$27,848.25",28.50%,"$97,268",8.16%
10,Idaho,"$6,444",NR,"$31,149.75",20.69%,"$80,795",7.98%
11,Texas*,"$6,782","$2,260","$28,788",23.56%,"$87,125",7.78%
12,Colorado,"$8,292",NR,"$36,261",22.87%,"$110,343",7.51%
13,Indiana,"$6,394","$2,784","$26,903.25",23.77%,"$85,756",7.46%
14,Wyoming*,"$6,249","$2,321","$24,977.25",25.02%,"$84,070",7.43%
15,Hawaii,"$7,402",NR,"$36,892.50",20.06%,"$101,033",7.33%
16,Georgia,"$6,568","$2,021","$28,733.25",22.86%,"$89,844",7.31%
17,Kentucky,"$5,850","$2,489","$21,300",27.46%,"$80,230",7.29%
18,Nevada,"$6,140",NR,"$29,624.25",20.73%,"$84,421",7.27%
19,Louisiana*,"$5,841","$1,943","$20,842.50",28.02%,"$83,397",7%
20,Ohio,"$6,435","$2,145","$25,810.50",24.93%,"$93,516",6.88%
21,Alaska,"$6,324","$2,239","$35,150.25",17.99%,"$94,097",6.72%
22,North Carolina,"$5,811","$1,941","$27,135.75",21.41%,"$87,965",6.61%
23,Arizona,"$5,850","$2,600","$33,111",17.67%,"$89,712",6.52%
24,Utah,"$5,940","$1,980","$33,376.50",17.80%,"$91,460",6.49%
25,Alabama*,"$5,226","$1,742","$22,122.75",23.62%,"$80,552",6.49%
26,Wisconsin,"$6,226",NR,"$30,321",20.53%,"$96,848",6.43%
27,Vermont,"$6,442","$3,530","$32,352",19.91%,"$100,364",6.42%
28,South Dakota,"$5,460",NR,"$28,061.25",19.46%,"$86,404",6.32%
29,Florida*,"$5,238","$2,619","$30,835.50",16.99%,"$84,968",6.16%
30,Michigan,"$5,468","$1,261","$26,702.25",20.48%,"$90,598",6.04%
31,Montana,"$4,875","$3,250","$31,201.50",15.62%,"$84,672",5.76%
32,Delaware,"$5,476","$2,806","$34,053.75",16.08%,"$98,441",5.56%
33,Mississippi*,"$4,290","$1,430","$20,183.25",21.26%,"$77,297",5.55%
34,Tennessee,"$4,402","$7,724","$24,293.25",18.12%,"$83,909",5.25%
35,Virginia,"$5,772","$3,601","$32,159.25",17.95%,"$110,105",5.24%
36,Connecticut,"$5,967",NR,"$32,304.75",18.47%,"$117,890",5.06%
37,New Jersey*,"$5,990","$1,997","$33,600",17.83%,"$125,264",4.78%
38,Washington,"$5,196",NR,"$31,581",16.45%,"$109,135",4.76%
39,Missouri,"$4,056","$1,352","$29,989.50",13.52%,"$86,993",4.66%
40,Arkansas,"$3,397","$1,971","$23,810.25",14.27%,"$75,631",4.49%
41,Illinois,"$4,538","$3,603","$30,966",14.65%,"$102,962",4.41%
42,New Hampshire,"$4,826",NR,"$33,814.50",14.27%,"$112,522",4.29%
43,Iowa,"$3,572","$2,128","$29,657.25",12.04%,"$90,584",3.94%
44,Kansas,"$2,254","$1,471","$28,387.50",7.94%,"$85,596",2.63%
"--",DC,NR,NR,"$41,652",,"$187,500",
"--",Minnesota,NA,NA,"$33,534.75",,"$106,888",
"--",Nebraska,NR,"$12,848","$31,535.25",,"$89,922",
"--",North Dakota,NR,NR,"$26,745",,"$98,294",
"--",Oregon,NR,NR,"$31,314.75",,"$94,162",
"--",West Virginia*,NR,NR,"$22,480.50",,"$75,141",
