Rank,State,Annual Price.Toddler.FCC,Single-Parent Family.Median Income,Single-Parent Family.% of Median Income,Married-Couple Family.Median Income,Married-Couple Family.% of Median Income
1,Wisconsin,"$14,743","$40,428",36.5%,"$129,130",11.4%
2,Nebraska,"$13,383","$42,047",31.8%,"$119,896",11.2%
3,Washington,"$16,200","$42,108",38.5%,"$145,513",11.1%
4,New York,"$15,616","$40,903",38.2%,"$141,123",11.1%
5,Oregon,"$13,832","$41,753",33.1%,"$125,549",11.0%
6,Montana,"$11,700","$41,602",28.1%,"$112,896",10.4%
7,Massachusetts,"$17,511","$42,380",41.3%,"$177,034",9.9%
8,Maryland,"$15,676","$52,696",29.7%,"$159,911",9.8%
9,Maine*,"$11,206","$40,736",27.5%,"$119,024",9.4%
10,Colorado,"$13,666","$48,348",28.3%,"$147,124",9.3%
11,Wyoming*,"$10,278","$33,303",30.9%,"$112,093",9.2%
12,Florida*,"$10,185","$41,114",24.8%,"$113,290",9.0%
13,Oklahoma,"$9,122","$31,574",28.9%,"$101,609",9.0%
14,Illinois,"$12,283","$41,288",29.7%,"$137,283",8.9%
15,Vermont,"$11,952","$43,136",27.7%,"$133,818",8.9%
16,Kentucky,"$9,360","$28,400",33.0%,"$106,973",8.7%
17,Arizona,"$10,400","$44,148",23.6%,"$119,616",8.7%
18,Texas*,"$9,957","$38,384",25.9%,"$116,166",8.6%
19,Virginia,"$12,480","$42,879",29.1%,"$146,806",8.5%
20,Tennessee,"$9,430","$32,391",29.1%,"$111,879",8.4%
21,DC,"$21,022","$55,536",37.9%,"$250,000",8.4%
22,Hawaii,"$11,148","$49,190",22.7%,"$134,710",8.3%
23,Michigan,"$9,959","$35,603",28.0%,"$120,797",8.2%
24,Nevada,"$9,239","$39,499",23.4%,"$112,561",8.2%
25,North Carolina,"$9,591","$36,181",26.5%,"$117,287",8.2%
26,Ohio,"$10,192","$34,414",29.6%,"$124,688",8.2%
27,Pennsylvania*,"$10,428","$37,131",28.1%,"$129,691",8.0%
28,Indiana,"$9,102","$35,871",25.4%,"$114,341",8.0%
29,Delaware,"$10,358","$45,405",22.8%,"$131,254",7.9%
30,Missouri,"$8,996","$39,986",22.5%,"$115,991",7.8%
31,West Virginia*,"$7,762","$29,974",25.9%,"$100,188",7.7%
32,Arkansas,"$7,727","$31,747",24.3%,"$100,841",7.7%
33,New Hampshire,"$11,432","$45,086",25.4%,"$150,029",7.6%
34,North Dakota,"$9,801","$35,660",27.5%,"$131,059",7.5%
35,Alaska,"$9,265","$46,867",19.8%,"$125,462",7.4%
36,Utah,"$8,700","$44,502",19.5%,"$121,946",7.1%
37,Alabama*,"$7,527","$29,497",25.5%,"$107,403",7.0%
38,Iowa,"$8,443","$39,543",21.4%,"$120,779",7.0%
39,Idaho,"$7,308","$41,533",17.6%,"$107,726",6.8%
40,South Carolina,"$7,449","$35,510",21.0%,"$110,894",6.7%
41,Georgia,"$8,043","$38,311",21.0%,"$119,792",6.7%
42,New Jersey*,"$11,113","$44,800",24.8%,"$167,018",6.7%
43,Minnesota,"$9,434","$44,713",21.1%,"$142,517",6.6%
44,Kansas,"$6,890","$37,850",18.2%,"$114,128",6.0%
45,South Dakota,"$6,822","$37,415",18.2%,"$115,205",5.9%
46,Mississippi*,"$5,980","$26,911",22.2%,"$103,063",5.8%
"--",California*,NR,"$45,721",,"$138,719",
"--",Connecticut,NA,"$43,073",,"$157,187",
"--",Louisiana*,NA,"$27,790",,"$111,196",
"--",Rhode Island*,NA,"$39,134",,"$141,221",
