State,Infant,Toddler,4-Year-Old,Before/After School,Full-Time Summer
Alabama*,"$8,632","$8,424","$8,008","$5,226","$1,742"
Alaska,"$12,107","$11,304","$9,883","$6,324","$2,239"
Arizona,"$15,964","$13,390","$11,680","$5,850","$2,600"
Arkansas,"$9,178","$8,801","$8,320","$3,397","$1,971"
California*,"$22,628",NR,"$16,665","$10,627","$3,542"
Colorado,"$20,978","$17,479","$14,800","$8,292",NR
Connecticut,"$18,492","$18,829","$15,297","$5,967",NR
Delaware,"$16,617","$14,668","$13,218","$5,476","$2,806"
District of Columbia,"$26,193","$24,087","$20,981",NR,NR
Florida*,"$13,011","$11,461","$9,409","$5,238","$2,619"
Georgia,"$11,066","$10,537","$9,573","$6,568","$2,021"
Hawaii,"$24,115","$18,852","$13,992","$7,402",NR
Idaho,"$10,608","$9,996","$9,201","$6,444",NR
Illinois,"$19,807","$18,736","$17,238","$4,538","$3,603"
Indiana,"$16,478","$16,002","$12,531","$6,394","$2,784"
Iowa,"$12,694","$11,729","$10,100","$3,572","$2,128"
Kansas,"$15,156","$11,071","$9,217","$2,254","$1,471"
Kentucky,"$12,740","$12,220","$10,712","$5,850","$2,489"
Louisiana*,"$10,847","$9,997","$9,378","$5,841","$1,943"
Maine*,"$15,730","$14,820","$14,144","$7,683","$2,561"
Maryland,"$25,321","$22,594","$15,601","$10,226",NR
Massachusetts,"$26,343","$24,314","$20,669","$17,944","$3,918"
Michigan,"$13,454","$13,555","$12,246","$5,468","$1,261"
Minnesota,"$20,421","$18,042","$15,733",NA,NA
Mississippi*,"$7,696","$7,254","$6,864","$4,290","$1,430"
Missouri,"$13,780","$11,700","$9,568","$4,056","$1,352"
Montana,"$15,080","$15,080","$14,300","$4,875","$3,250"
Nebraska,"$18,147","$17,184","$15,738",NR,"$12,848"
Nevada,"$12,659","$11,442","$10,605","$6,140",NR
New Hampshire,"$16,040","$14,870","$13,042","$4,826",NR
New Jersey*,"$20,213","$19,448","$17,503","$5,990","$1,997"
New York,"$20,439","$18,661","$17,343","$12,447",NR
North Carolina,"$12,370","$11,694","$10,381","$5,811","$1,941"
North Dakota,"$12,299","$11,580","$10,869",NR,NR
Ohio,"$13,780","$12,376","$11,752","$6,435","$2,145"
Oklahoma,"$10,809","$10,060","$9,415","$7,326",NR
Oregon,"$19,500","$17,368","$13,260",NR,NR
Pennsylvania*,"$14,910","$14,180","$12,453","$7,937","$2,645"
Rhode Island*,"$18,486",NA,"$16,212","$10,920","$3,640"
South Carolina,"$10,474","$10,308","$9,691","$8,277",NR
South Dakota,"$8,632","$8,632","$8,070","$5,460",NR
Tennessee,"$13,126","$12,063","$10,840","$4,402","$7,724"
Texas*,"$11,349","$10,921","$10,225","$6,782","$2,260"
Utah,"$14,160","$11,328","$9,876","$5,940","$1,980"
Vermont,"$18,710","$17,988","$15,877","$6,442","$3,530"
Virginia,"$16,796","$15,964","$13,884","$5,772","$3,601"
Washington,"$21,348","$19,236","$16,908","$5,196",NR
West Virginia*,"$10,439","$9,903","$9,368",NR,NR
Wisconsin,"$17,963","$18,239","$15,039","$6,226",NR
Wyoming*,"$12,784","$11,897","$11,229","$6,249","$2,321"
