Rank,State,Annual Price.4-Year-Old.FCC,Single-Parent Family.Median Income,Single-Parent Family.% of Median Income,Married-Couple Family.Median Income,Married-Couple Family.% of Median Income
1,California*,"$16,763","$45,721",36.7%,"$138,719",12.1%
2,Nebraska,"$13,383","$42,047",31.8%,"$119,896",11.2%
3,New York,"$15,616","$40,903",38.2%,"$141,123",11.1%
4,Oregon,"$13,728","$41,753",32.9%,"$125,549",10.9%
5,Washington,"$14,556","$42,108",34.6%,"$145,513",10.0%
6,Montana,"$10,400","$41,602",25.0%,"$112,896",9.2%
7,Rhode Island*,"$13,000","$39,134",33.2%,"$141,221",9.2%
8,Maine*,"$10,790","$40,736",26.5%,"$119,024",9.1%
9,Vermont,"$11,818","$43,136",27.4%,"$133,818",8.8%
10,Kentucky,"$9,360","$28,400",33.0%,"$106,973",8.7%
11,Colorado,"$12,830","$48,348",26.5%,"$147,124",8.7%
12,Wyoming*,"$9,747","$33,303",29.3%,"$112,093",8.7%
13,Arizona,"$10,400","$44,148",23.6%,"$119,616",8.7%
14,Wisconsin,"$11,088","$40,428",27.4%,"$129,130",8.6%
15,Michigan,"$10,355","$35,603",29.1%,"$120,797",8.6%
16,Massachusetts,"$15,056","$42,380",35.5%,"$177,034",8.5%
17,Oklahoma,"$8,577","$31,574",27.2%,"$101,609",8.4%
18,Connecticut,"$13,201","$43,073",30.6%,"$157,187",8.4%
19,Maryland,"$13,416","$52,696",25.5%,"$159,911",8.4%
20,Virginia,"$12,116","$42,879",28.3%,"$146,806",8.3%
21,Texas*,"$9,582","$38,384",25.0%,"$116,166",8.2%
22,Hawaii,"$11,028","$49,190",22.4%,"$134,710",8.2%
23,Nevada,"$8,982","$39,499",22.7%,"$112,561",8.0%
24,DC,"$19,685","$55,536",35.4%,"$250,000",7.9%
25,Tennessee,"$8,689","$32,391",26.8%,"$111,879",7.8%
26,West Virginia*,"$7,762","$29,974",25.9%,"$100,188",7.7%
27,North Carolina,"$9,047","$36,181",25.0%,"$117,287",7.7%
28,Arkansas,"$7,745","$31,747",24.4%,"$100,841",7.7%
29,New Hampshire,"$11,418","$45,086",25.3%,"$150,029",7.6%
30,Illinois,"$10,439","$41,288",25.3%,"$137,283",7.6%
31,Delaware,"$9,968","$45,405",22.0%,"$131,254",7.6%
32,Florida*,"$8,592","$41,114",20.9%,"$113,290",7.6%
33,Pennsylvania*,"$9,685","$37,131",26.1%,"$129,691",7.5%
34,Indiana,"$8,470","$35,871",23.6%,"$114,341",7.4%
35,Ohio,"$9,048","$34,414",26.3%,"$124,688",7.3%
36,North Dakota,"$9,473","$35,660",26.6%,"$131,059",7.2%
37,Missouri,"$8,320","$39,986",20.8%,"$115,991",7.2%
38,Alaska,"$8,610","$46,867",18.4%,"$125,462",6.9%
39,Iowa,"$8,285","$39,543",21.0%,"$120,779",6.9%
40,Alabama*,"$7,332","$29,497",24.9%,"$107,403",6.8%
41,Kansas,"$7,750","$37,850",20.5%,"$114,128",6.8%
42,Utah,"$8,160","$44,502",18.3%,"$121,946",6.7%
43,New Jersey*,"$11,113","$44,800",24.8%,"$167,018",6.7%
44,Idaho,"$7,152","$41,533",17.2%,"$107,726",6.6%
45,South Carolina,"$7,223","$35,510",20.3%,"$110,894",6.5%
46,Georgia,"$7,802","$38,311",20.4%,"$119,792",6.5%
47,Minnesota,"$8,978","$44,713",20.1%,"$142,517",6.3%
48,South Dakota,"$6,635","$37,415",17.7%,"$115,205",5.8%
49,Mississippi*,"$5,720","$26,911",21.3%,"$103,063",5.6%
"--",Louisiana*,NA,"$27,790",,"$111,196",
