Rank,State,Annual Price.Infant.FCC,Single-Parent Family.Median Income,Single-Parent Family.% of Median Income,Married-Couple Family.Median Income,Married-Couple Family.% of Median Income
1,California*,"$19,022","$45,721",41.6%,"$138,719",13.7%
2,Oregon,"$15,808","$41,753",37.9%,"$125,549",12.6%
3,Washington,"$18,000","$42,108",42.7%,"$145,513",12.4%
4,New York,"$16,415","$40,903",40.1%,"$141,123",11.6%
5,Nebraska,"$13,383","$42,047",31.8%,"$119,896",11.2%
6,Montana,"$11,700","$41,602",28.1%,"$112,896",10.4%
7,Rhode Island*,"$14,300","$39,134",36.5%,"$141,221",10.1%
8,Maryland,"$15,919","$52,696",30.2%,"$159,911",10.0%
9,Maine*,"$11,830","$40,736",29.0%,"$119,024",9.9%
10,Massachusetts,"$17,510","$42,380",41.3%,"$177,034",9.9%
11,Florida*,"$11,201","$41,114",27.2%,"$113,290",9.9%
12,Wyoming*,"$10,704","$33,303",32.1%,"$112,093",9.5%
13,Wisconsin,"$12,319","$40,428",30.5%,"$129,130",9.5%
14,Colorado,"$13,666","$48,348",28.3%,"$147,124",9.3%
15,Vermont,"$12,395","$43,136",28.7%,"$133,818",9.3%
16,Oklahoma,"$9,399","$31,574",29.8%,"$101,609",9.3%
17,Kentucky,"$9,880","$28,400",34.8%,"$106,973",9.2%
18,Arizona,"$10,920","$44,148",24.7%,"$119,616",9.1%
19,Connecticut,"$14,305","$43,073",33.2%,"$157,187",9.1%
20,Illinois,"$12,283","$41,288",29.7%,"$137,283",8.9%
21,Virginia,"$13,052","$42,879",30.4%,"$146,806",8.9%
22,Utah,"$10,800","$44,502",24.3%,"$121,946",8.9%
23,Hawaii,"$11,632","$49,190",23.6%,"$134,710",8.6%
24,Nevada,"$9,703","$39,499",24.6%,"$112,561",8.6%
25,Texas*,"$10,010","$38,384",26.1%,"$116,166",8.6%
26,Alaska,"$10,809","$46,867",23.1%,"$125,462",8.6%
27,Missouri,"$9,984","$39,986",25.0%,"$115,991",8.6%
28,District of Columbia,"$21,382","$55,536",38.5%,"$250,000",8.6%
29,West Virginia*,"$8,565","$29,974",28.6%,"$100,188",8.5%
30,North Carolina,"$9,961","$36,181",27.5%,"$117,287",8.5%
31,Pennsylvania*,"$10,994","$37,131",29.6%,"$129,691",8.5%
32,Ohio,"$10,556","$34,414",30.7%,"$124,688",8.5%
33,Tennessee,"$9,415","$32,391",29.1%,"$111,879",8.4%
34,Delaware,"$10,997","$45,405",24.2%,"$131,254",8.4%
35,Indiana,"$9,508","$35,871",26.5%,"$114,341",8.3%
36,Arkansas,"$7,963","$31,747",25.1%,"$100,841",7.9%
37,Michigan,"$9,458","$35,603",26.6%,"$120,797",7.8%
38,New Hampshire,"$11,708","$45,086",26.0%,"$150,029",7.8%
39,North Dakota,"$10,141","$35,660",28.4%,"$131,059",7.7%
40,New Jersey*,"$12,502","$44,800",27.9%,"$167,018",7.5%
41,South Carolina,"$8,126","$35,510",22.9%,"$110,894",7.3%
42,Alabama*,"$7,670","$29,497",26.0%,"$107,403",7.1%
43,Iowa,"$8,596","$39,543",21.7%,"$120,779",7.1%
44,Georgia,"$8,407","$38,311",21.9%,"$119,792",7.0%
45,Minnesota,"$9,821","$44,713",22.0%,"$142,517",6.9%
46,Idaho,"$7,380","$41,533",17.8%,"$107,726",6.9%
47,Kansas,"$7,639","$37,850",20.2%,"$114,128",6.7%
48,Mississippi*,"$6,188","$26,911",23.0%,"$103,063",6.0%
49,South Dakota,"$6,822","$37,415",18.2%,"$115,205",5.9%
50,Louisiana*,NA,"$27,790",NA,"$111,196",NA
