Population aged 25 to 64 with a Bachelor's Degree or Higher with Earnings,Science and Engineering.Earnings,Science and Engineering.Margin of Error (±),Science- and Engineering-Related Fields.Earnings,Science- and Engineering-Related Fields.Margin of Error (±),Business.Earnings,Business.Margin of Error (±),Education.Earnings,Education.Margin of Error (±),"Arts, Humanities, and Other.Earnings","Arts, Humanities, and Other.Margin of Error (±)"
Total,84930,299,75850,373,80570,270,57090,348,62740,255
Alabama,76220,2047,68780,3166,68180,3877,51900,1556,53000,1432
Alaska,83530,5981,72910,10130,90330,12510,72890,5221,69000,7756
Arizona,80290,2247,73200,3323,77310,3173,53110,1254,61120,1157
Arkansas,69740,3425,69080,4950,71110,5064,51000,1543,49910,2405
California,101500,503,92860,1585,88130,2154,66430,3030,72720,982
Colorado,84060,1865,75610,2852,86490,1833,54740,1962,64130,1859
Connecticut,93100,2313,82070,2882,93650,3699,73480,3136,71310,2075
Delaware,79740,4967,76850,5442,78260,8025,64460,4320,61240,4161
District of Columbia,105300,4168,88110,5987,110400,11860,76190,15360,92820,4176
Florida,70760,1370,68270,2371,69300,1822,51420,579,55260,1028
Georgia,80330,1445,72590,2528,79000,2217,58550,1811,61870,1229
Hawaii,77090,2663,83140,5738,68090,5154,61380,2889,61010,4298
Idaho,70650,4025,61690,3684,76330,6050,51940,2993,51720,2246
Illinois,84600,1425,74930,1436,86040,1489,61200,1155,65550,1504
Indiana,74720,2115,72390,1896,73610,2185,51580,1024,52680,1429
Iowa,72670,2088,69470,2534,75860,1761,56070,1815,54110,1438
Kansas,74560,2748,69610,3179,73110,3401,52380,1110,56150,1972
Kentucky,72010,2881,70470,2525,69900,3793,52210,1404,52350,1769
Louisiana,71450,3416,68680,2916,67260,3700,51100,1022,52800,1686
Maine,63610,1887,66670,6246,72950,4630,53690,4170,56370,4437
Maryland,99690,2307,83640,1917,94220,2322,70420,2468,74140,1691
Massachusetts,97470,1879,86890,3394,92170,1963,71280,2668,73200,1166
Michigan,84240,1312,72910,2260,76340,1253,57730,1847,58420,1286
Minnesota,83470,1598,75510,1753,85760,2158,59560,2351,63600,1655
Mississippi,60390,3004,63400,4680,60760,3202,43950,2231,49220,2389
Missouri,72650,2318,70920,2455,74070,2234,49880,1229,54990,1517
Montana,64790,3305,66230,6923,62430,3089,49110,2554,50890,2319
Nebraska,73130,3287,70970,3318,75650,4146,55160,1876,55590,2113
Nevada,73030,2426,75640,3966,68250,3801,56130,3395,61570,2862
New Hampshire,86810,3346,76860,6721,82670,2728,62300,3290,64540,2697
New Jersey,98140,2145,89370,2886,94190,2717,68170,2743,73480,1450
New Mexico,72850,3394,73920,6097,74910,7153,54430,2907,54480,3294
New York,86490,1006,82570,1456,84460,1703,70960,1494,70790,1236
North Carolina,78780,1830,70840,2694,74180,2257,50950,1044,56260,1400
North Dakota,67790,3679,61500,3806,64480,3835,55780,4535,57580,4594
Ohio,80570,1333,72640,1440,78070,1979,61470,1185,58070,1344
Oklahoma,68720,2769,66470,3286,68450,3480,48280,878,51880,1028
Oregon,81690,1985,81240,3795,79180,3864,60210,7319,60240,2466
Pennsylvania,81530,1147,76460,1545,79720,1871,63520,1049,61900,737
Rhode Island,82270,4176,80130,10990,87610,7827,67410,6537,64230,3005
South Carolina,70160,2603,71220,4263,67450,3045,50660,1774,54830,1791
South Dakota,62790,2651,66960,4233,67290,6378,50500,1700,50060,2434
Tennessee,71960,1904,66350,2841,71280,2261,51250,1325,55280,1404
Texas,82250,1067,75880,1421,79800,1633,58610,720,61800,790
Utah,83580,3275,65510,3820,84720,3239,54970,2134,57090,2311
Vermont,69410,2854,68340,6124,63400,5903,57040,5123,56460,2807
Virginia,97550,2038,78770,1893,91940,1986,58310,1694,72610,1577
Washington,102900,1353,82750,2279,89140,3253,69920,3299,69870,2485
West Virginia,67730,5559,64330,4455,66360,6664,48990,1970,51780,2756
Wisconsin,76230,1553,71740,1578,75940,1751,54280,1113,59040,1601
Wyoming,68920,4620,68200,5186,73480,14220,57610,5445,50270,4213
