Field of Degree,Total,Sex.Male,Sex.Female,Age.25 to 34,Age.35 to 44,Age.45 to 54,Age.55 to 64,Race and Hispanic Origin.White Alone,Race and Hispanic Origin.Black Alone,Race and Hispanic Origin.Asian Alone,"Race and Hispanic Origin.Hispanic, of Any Race",Race and Hispanic Origin.Other or Multiple Race,Educational Attainmnent.Bachelor's Degree,Educational Attainmnent.Master's Degree,Educational Attainmnent.Professional Degree,Educational Attainmnent.Doctorate Degree,Employment.Employed,Employment.Unemployed,Employment.Not in Labor Force,Poverty Status.In Poverty,Poverty Status.Not In Poverty
Population 25 to 64 with a Bachelor's Degree or Higher,232300.0,0.08,0.08,0.09,0.08,0.07,0.07,0.1,0.07,0.05,0.07,0.05,0.11,0.1,0.06,0.04,0.07,0.03,0.07,0.05,0.05
Science and Engineering Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Computer Science,23960.0,0.59,0.59,0.67,0.73,0.64,0.47,0.68,0.51,0.66,0.43,0.32,0.62,0.64,0.2,0.26,0.44,0.17,0.45,0.32,0.32
Engineering,18560.0,0.99,0.99,0.96,1.01,0.88,0.92,1.13,0.72,0.87,0.99,0.43,1.09,1.05,0.41,0.43,0.73,0.3,0.62,0.47,0.47
Civil Engineering,14310.0,0.96,0.96,1.07,1.12,0.88,0.94,1.04,0.59,0.82,0.85,0.52,1.15,1.04,0.38,0.46,0.73,0.32,0.63,0.56,0.56
Electrical Engineering,22550.0,0.6,0.6,0.68,0.71,0.7,0.62,0.75,0.46,0.71,0.52,0.28,0.81,0.82,0.3,0.36,0.57,0.24,0.49,0.36,0.36
Mechanical Engineering,20030.0,0.47,0.47,0.82,0.88,0.66,0.83,1.06,0.39,0.68,0.58,0.41,0.83,0.8,0.26,0.4,0.52,0.18,0.51,0.31,0.31
Mathematics,15290.0,0.96,0.96,0.96,1.01,0.84,0.96,1.11,0.62,0.91,0.56,0.4,0.98,0.83,0.39,0.5,0.71,0.28,0.66,0.44,0.44
Biology,27830.0,0.56,0.56,0.54,0.54,0.45,0.41,0.66,0.48,0.43,0.38,0.3,0.5,0.59,0.51,0.41,0.41,0.15,0.4,0.28,0.28
Chemistry,13330.0,1.19,1.19,1.04,0.91,1.01,0.97,1.07,0.74,0.81,0.71,0.47,1.19,1.0,0.79,0.82,0.73,0.34,0.67,0.45,0.45
Psychology,36010.0,0.48,0.48,0.44,0.4,0.41,0.36,0.47,0.37,0.24,0.38,0.26,0.45,0.41,0.24,0.28,0.36,0.13,0.33,0.24,0.24
Economics,19010.0,0.75,0.75,0.78,0.66,0.67,0.7,0.67,0.48,0.56,0.51,0.37,0.87,0.8,0.4,0.28,0.65,0.27,0.53,0.32,0.32
Political Science,22890.0,0.77,0.77,0.66,0.59,0.62,0.58,0.84,0.57,0.42,0.45,0.34,0.78,0.66,0.66,0.25,0.4,0.26,0.39,0.33,0.33
Sociology,17350.0,0.93,0.93,0.94,0.86,0.83,0.67,0.92,0.79,0.39,0.61,0.49,0.84,0.84,0.41,0.32,0.62,0.24,0.63,0.46,0.46
Nursing,32200.0,0.37,0.37,0.52,0.47,0.54,0.4,0.54,0.41,0.39,0.36,0.21,0.49,0.46,0.21,0.18,0.36,0.13,0.35,0.19,0.19
Other Science and Engineering Degrees1,71600.0,0.23,0.23,0.28,0.23,0.19,0.19,0.25,0.17,0.19,0.18,0.1,0.27,0.24,0.13,0.13,0.16,0.05,0.16,0.13,0.13
Business Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
General Business,33340.0,0.54,0.54,0.49,0.53,0.38,0.48,0.56,0.39,0.33,0.4,0.26,0.51,0.47,0.17,0.12,0.36,0.13,0.34,0.22,0.22
Accounting,27970.0,0.6,0.6,0.6,0.53,0.49,0.53,0.52,0.4,0.38,0.38,0.23,0.53,0.52,0.26,0.14,0.39,0.16,0.36,0.26,0.26
Business Management and Adminstration,39440.0,0.45,0.45,0.43,0.44,0.35,0.36,0.47,0.38,0.23,0.35,0.19,0.39,0.37,0.16,0.1,0.29,0.14,0.28,0.18,0.18
Marketing,25160.0,0.63,0.63,0.69,0.73,0.59,0.64,0.73,0.48,0.28,0.47,0.3,0.55,0.51,0.2,0.14,0.53,0.21,0.48,0.23,0.23
Finance,20900.0,0.68,0.68,0.72,0.7,0.51,0.53,0.65,0.55,0.51,0.42,0.31,0.75,0.72,0.31,0.16,0.47,0.22,0.43,0.28,0.28
Other Business Degrees,26800.0,0.64,0.64,0.63,0.77,0.53,0.46,0.75,0.52,0.42,0.62,0.35,0.74,0.65,0.25,0.15,0.45,0.2,0.41,0.3,0.3
Education Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
General Education,27440.0,0.62,0.62,0.49,0.7,0.58,0.59,0.65,0.44,0.26,0.45,0.28,0.75,0.67,0.26,0.19,0.55,0.16,0.53,0.31,0.31
Elementary Education,22660.0,0.36,0.36,0.55,0.54,0.7,0.62,0.65,0.38,0.2,0.41,0.27,0.59,0.61,0.25,0.2,0.43,0.13,0.42,0.26,0.26
Other Education Degrees,28800.0,0.5,0.5,0.49,0.54,0.49,0.47,0.48,0.32,0.23,0.3,0.22,0.55,0.51,0.2,0.18,0.4,0.14,0.38,0.25,0.25
Arts Humanities and Other Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Communications,24120.0,0.66,0.66,0.65,0.61,0.59,0.46,0.64,0.48,0.3,0.42,0.29,0.58,0.55,0.21,0.15,0.49,0.21,0.47,0.28,0.28
English Language and Literature,20970.0,0.61,0.61,0.58,0.63,0.57,0.59,0.62,0.44,0.35,0.42,0.24,0.65,0.64,0.41,0.3,0.55,0.21,0.48,0.33,0.33
Liberal Arts,13350.0,1.2,1.2,0.84,1.01,1.01,1.02,1.04,0.63,0.52,0.65,0.45,0.87,0.81,0.38,0.31,0.95,0.48,0.79,0.46,0.46
History,21500.0,0.72,0.72,0.77,0.76,0.61,0.6,0.64,0.4,0.32,0.39,0.35,0.89,0.82,0.55,0.32,0.51,0.27,0.45,0.34,0.34
Fine Arts,16660.0,1.11,1.11,0.92,0.87,1.0,0.83,1.17,0.68,0.57,0.75,0.55,0.8,0.76,0.33,0.24,0.93,0.35,0.87,0.6,0.6
Commerical Art and Graphic Design,17110.0,1.06,1.06,1.04,1.09,0.93,0.78,1.12,0.58,0.62,0.68,0.5,0.66,0.61,0.22,0.12,0.91,0.33,0.83,0.47,0.47
