Field of Degree,Total Population.Estimate,Total Population.MOE,Age 25 to 34.Estimate,Age 25 to 34.MOE,Age 35 to 44.Estimate,Age 35 to 44.MOE,Age 45 to 54.Estimate,Age 45 to 54.MOE,Age 55 to 64.Estimate,Age 55 to 64.MOE
Population 25 to 64 with a Bachelor's Degree or Higher with earnings,74150,165.7,60470,171.8,79600,431.6,86340,329.9,81580,350.3
Computer Science,108500,1597.0,89310,2269.0,120600,2619.0,125300,2297.0,117900,4350.0
Engineering,100600,1031.0,80370,2238.0,103200,3094.0,111300,5887.0,106600,2499.0
Civil Engineering,99660,1702.0,80100,1665.0,105400,2092.0,123800,3002.0,111900,6274.0
Electrical Engineering,121600,1239.0,95750,2129.0,124800,2047.0,139600,3710.0,131900,3694.0
Mechanical Engineering,106200,957.2,85500,1317.0,119900,2734.0,135000,2391.0,126400,3108.0
Mathematics,86560,1476.0,65170,2484.0,91600,3870.0,101800,2176.0,99990,4439.0
Biology,81550,706.8,60760,786.6,93990,2105.0,106700,1755.0,104000,2100.0
Chemistry,94680,2114.0,61890,1887.0,100500,2437.0,121900,4190.0,110400,6631.0
Psychology,62270,488.2,50560,559.2,69240,1031.0,74140,1818.0,72660,2371.0
Economics,101400,916.1,81450,1916.0,109200,4257.0,121800,4418.0,105500,2352.0
Political Science,86380,1325.0,67950,1847.0,93290,2365.0,106900,2068.0,96390,3790.0
Sociology,63660,836.9,54430,1422.0,68230,2213.0,73340,2740.0,61960,3014.0
Nursing,79600,812.7,68220,869.8,81510,869.7,89050,1392.0,86060,1143.0
Other Science and Engineering Degrees1,77910,460.3,62030,419.2,85300,727.1,94340,925.7,91040,1095.0
General Business,80120,710.7,62970,976.4,84020,1833.0,90870,2067.0,83630,1626.0
Accounting,84880,1051.0,74020,1131.0,88340,3055.0,93570,1906.0,91440,1830.0
Business Management and Adminstration,75600,581.2,61790,871.9,78480,1383.0,83520,1456.0,81510,1172.0
Marketing,75930,798.6,64030,868.8,82870,1970.0,87340,2789.0,80380,2732.0
Finance,99900,1779.0,81680,1577.0,105500,1927.0,115000,4706.0,103900,2088.0
Other Business Degrees,77160,882.2,64070,1105.0,82890,1767.0,88240,2996.0,82470,2493.0
General Education,58000,730.8,50040,734.6,60620,765.3,64080,1203.0,59260,1631.0
Elementary Education,54900,549.8,47310,671.8,56970,866.8,62980,937.9,54530,1215.0
Other Education Degrees,58120,477.6,49860,571.0,60390,739.8,69720,1140.0,58370,1298.0
Communications,67840,1017.0,58120,1500.0,74780,1411.0,80000,2566.0,71880,2071.0
English Language and Literature,65060,927.0,51010,914.2,69620,1552.0,76620,1485.0,71770,2599.0
Liberal Arts,61380,1044.0,47960,1912.0,64260,2253.0,73070,3740.0,64270,3313.0
History,73560,1006.0,54240,1021.0,76160,1665.0,90570,2950.0,86240,3154.0
Fine Arts,53450,1303.0,42220,1850.0,57920,2891.0,62410,1870.0,53300,2358.0
Commerical Art and Graphic Design,59770,1049.0,52290,1175.0,66830,2508.0,68560,4018.0,54740,4040.0
Family and Consumer Sciences,52850,951.6,47190,1567.0,57560,4088.0,60360,3569.0,52130,2545.0
"Physical Fitness, Parks, Recreation, and Leisure",61580,691.3,52250,986.2,70740,2268.0,76910,2600.0,64550,2992.0
Criminal Justice and Fire Protection,64690,809.2,52450,758.3,72130,1370.0,79040,3245.0,68800,3884.0
Social Work,55060,838.0,48040,1623.0,59880,1726.0,61580,1888.0,56970,3012.0
Other Degrees,62100,419.6,50880,501.4,68090,970.4,74100,1281.0,64780,1217.0
