Field of Degree,Total Population.Estimate,Total Population.MOE,Age 25 to 34.Estimate,Age 25 to 34.MOE,Age 35 to 44.Estimate,Age 35 to 44.MOE,Age 45 to 54.Estimate,Age 45 to 54.MOE,Age 55 to 64.Estimate,Age 55 to 64.MOE
Population 25 to 64 with a Bachelor's Degree or Higher with earnings,74150.0,165.7,60470.0,171.8,79600.0,431.6,86340.0,329.9,81580.0,350.3
Science and Engineering Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Computer Science,108500.0,1597.0,89310.0,2269.0,120600.0,2619.0,125300.0,2297.0,117900.0,4350.0
Engineering,100600.0,1031.0,80370.0,2238.0,103200.0,3094.0,111300.0,5887.0,106600.0,2499.0
Civil Engineering,99660.0,1702.0,80100.0,1665.0,105400.0,2092.0,123800.0,3002.0,111900.0,6274.0
Electrical Engineering,121600.0,1239.0,95750.0,2129.0,124800.0,2047.0,139600.0,3710.0,131900.0,3694.0
Mechanical Engineering,106200.0,957.2,85500.0,1317.0,119900.0,2734.0,135000.0,2391.0,126400.0,3108.0
Mathematics,86560.0,1476.0,65170.0,2484.0,91600.0,3870.0,101800.0,2176.0,99990.0,4439.0
Biology,81550.0,706.8,60760.0,786.6,93990.0,2105.0,106700.0,1755.0,104000.0,2100.0
Chemistry,94680.0,2114.0,61890.0,1887.0,100500.0,2437.0,121900.0,4190.0,110400.0,6631.0
Psychology,62270.0,488.2,50560.0,559.2,69240.0,1031.0,74140.0,1818.0,72660.0,2371.0
Economics,101400.0,916.1,81450.0,1916.0,109200.0,4257.0,121800.0,4418.0,105500.0,2352.0
Political Science,86380.0,1325.0,67950.0,1847.0,93290.0,2365.0,106900.0,2068.0,96390.0,3790.0
Sociology,63660.0,836.9,54430.0,1422.0,68230.0,2213.0,73340.0,2740.0,61960.0,3014.0
Nursing,79600.0,812.7,68220.0,869.8,81510.0,869.7,89050.0,1392.0,86060.0,1143.0
Other Science and Engineering Degrees1,77910.0,460.3,62030.0,419.2,85300.0,727.1,94340.0,925.7,91040.0,1095.0
Business Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
General Business,80120.0,710.7,62970.0,976.4,84020.0,1833.0,90870.0,2067.0,83630.0,1626.0
Accounting,84880.0,1051.0,74020.0,1131.0,88340.0,3055.0,93570.0,1906.0,91440.0,1830.0
Business Management and Adminstration,75600.0,581.2,61790.0,871.9,78480.0,1383.0,83520.0,1456.0,81510.0,1172.0
Marketing,75930.0,798.6,64030.0,868.8,82870.0,1970.0,87340.0,2789.0,80380.0,2732.0
Finance,99900.0,1779.0,81680.0,1577.0,105500.0,1927.0,115000.0,4706.0,103900.0,2088.0
Other Business Degrees,77160.0,882.2,64070.0,1105.0,82890.0,1767.0,88240.0,2996.0,82470.0,2493.0
Education Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
General Education,58000.0,730.8,50040.0,734.6,60620.0,765.3,64080.0,1203.0,59260.0,1631.0
Elementary Education,54900.0,549.8,47310.0,671.8,56970.0,866.8,62980.0,937.9,54530.0,1215.0
Other Education Degrees,58120.0,477.6,49860.0,571.0,60390.0,739.8,69720.0,1140.0,58370.0,1298.0
Arts Humanities and Other Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Communications,67840.0,1017.0,58120.0,1500.0,74780.0,1411.0,80000.0,2566.0,71880.0,2071.0
English Language and Literature,65060.0,927.0,51010.0,914.2,69620.0,1552.0,76620.0,1485.0,71770.0,2599.0
Liberal Arts,61380.0,1044.0,47960.0,1912.0,64260.0,2253.0,73070.0,3740.0,64270.0,3313.0
History,73560.0,1006.0,54240.0,1021.0,76160.0,1665.0,90570.0,2950.0,86240.0,3154.0
Fine Arts,53450.0,1303.0,42220.0,1850.0,57920.0,2891.0,62410.0,1870.0,53300.0,2358.0
Commerical Art and Graphic Design,59770.0,1049.0,52290.0,1175.0,66830.0,2508.0,68560.0,4018.0,54740.0,4040.0
Family and Consumer Sciences,52850.0,951.6,47190.0,1567.0,57560.0,4088.0,60360.0,3569.0,52130.0,2545.0
Physical Fitness Parks Recreation and Leisure,61580.0,691.3,52250.0,986.2,70740.0,2268.0,76910.0,2600.0,64550.0,2992.0
Criminal Justice and Fire Protection,64690.0,809.2,52450.0,758.3,72130.0,1370.0,79040.0,3245.0,68800.0,3884.0
Social Work,55060.0,838.0,48040.0,1623.0,59880.0,1726.0,61580.0,1888.0,56970.0,3012.0
Other Degrees,62100.0,419.6,50880.0,501.4,68090.0,970.4,74100.0,1281.0,64780.0,1217.0
Source: U.S. Census Bureau 2022 American Community Survey 1-year estimates. For more information refer to <www.census.gov/acs>.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The Census Bureau has reviewed this data product to ensure appropriate access use and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-001-0000001262 Disclosure Review Board (DRB) approval number: CBDRB-FY23-SEHSD003-068.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Note: 1. Science and Engineering related fields are included within the ""other science and engineering degrees"" category.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
