Field of Degree,Total Population.Estimate,Total Population.MOE,Bachelor's Degree Only.Estimate,Bachelor's Degree Only.MOE,Advanced Degree.Estimate,Advanced Degree.MOE
Population 25 to 64 with a Bachelor's degree or higher with earnings1,74150.0,165.7,66410.0,202.2,86120.0,246.7
Science and Engineering Degrees,nan,nan,nan,nan,nan,nan
Computer Science,108500.0,1597.0,101600.0,867.3,128800.0,1962.0
Engineering,100600.0,1031.0,90490.0,2213.0,116100.0,3302.0
Civil Engineering,99660.0,1702.0,94370.0,1695.0,107500.0,2570.0
Electrical Engineering,121600.0,1239.0,106600.0,1062.0,139400.0,2337.0
Mechanical Engineering,106200.0,957.2,99180.0,1800.0,124900.0,1800.0
Mathematics,86560.0,1476.0,76350.0,1817.0,96530.0,2155.0
Biology,81550.0,706.8,60390.0,983.2,102800.0,1448.0
Chemistry,94680.0,2114.0,71060.0,2374.0,109100.0,3292.0
Psychology,62270.0,488.2,52460.0,579.3,72490.0,781.3
Economics,101400.0,916.1,89570.0,2396.0,122100.0,2864.0
Political Science,86380.0,1325.0,72420.0,1853.0,102700.0,1578.0
Sociology,63660.0,836.9,56700.0,1498.0,75620.0,1429.0
Nursing,79600.0,812.7,73560.0,545.7,99060.0,1905.0
Other Science and Engineering Degrees2,77910.0,460.3,68510.0,639.5,91410.0,476.9
Business Degrees,nan,nan,nan,nan,nan,nan
General Business,80120.0,710.7,74570.0,819.8,96280.0,1719.0
Accounting,84880.0,1051.0,77200.0,1138.0,102000.0,1085.0
Business Management and Adminstration,75600.0,581.2,71220.0,659.2,90840.0,1341.0
Marketing,75930.0,798.6,73440.0,991.4,88750.0,2792.0
Finance,99900.0,1779.0,91400.0,1259.0,116100.0,3312.0
Other Business Degrees,77160.0,882.2,72540.0,1113.0,92260.0,1993.0
Education Degrees,nan,nan,nan,nan,nan,nan
General Education,58000.0,730.8,50490.0,472.6,66880.0,894.7
Elementary Education,54900.0,549.8,47320.0,621.0,65170.0,706.1
Other Education Degrees,58120.0,477.6,49600.0,620.9,67460.0,645.3
Arts Humanities and Other Degrees,nan,nan,nan,nan,nan,nan
Communications,67840.0,1017.0,64760.0,670.6,76560.0,1216.0
English Language and Literature,65060.0,927.0,56180.0,1198.0,75370.0,1186.0
Liberal Arts,61380.0,1044.0,54560.0,1350.0,77310.0,2048.0
History,73560.0,1006.0,62340.0,1188.0,85160.0,1574.0
Fine Arts,53450.0,1303.0,50730.0,1061.0,63200.0,2194.0
Commerical Art and Graphic Design,59770.0,1049.0,58490.0,1161.0,69310.0,4029.0
Family and Consumer Sciences,52850.0,951.6,46770.0,1477.0,63800.0,1587.0
Physical Fitness Parks Recreation and Leisure,61580.0,691.3,55020.0,1241.0,73180.0,1337.0
Criminal Justice and Fire Protection,64690.0,809.2,61830.0,716.4,76740.0,1556.0
Social Work,55060.0,838.0,46700.0,1233.0,62510.0,1025.0
Other Degrees,62100.0,419.6,57340.0,786.2,71220.0,917.4
Source: U.S. Census Bureau 2022 American Community Survey 1-year estimates. For more information refer to <www.census.gov/acs>.,nan,nan,nan,nan,nan,nan
The Census Bureau has reviewed this data product to ensure appropriate access use and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-001-0000001262 Disclosure Review Board (DRB) approval number: CBDRB-FY23-SEHSD003-068.,nan,nan,nan,nan,nan,nan
"Note: 1. We are unable to determine what field respondents pursue an advanced degree in. The field of degree question on the American Community Survey asks about Bachelor's degree. 2. Science and Engineering related fields are included within the ""other science and engineering degrees"" category.",nan,nan,nan,nan,nan,nan
