.Select Metropolitan Statistical Areas,Educational Attainment.Less than a Bachelor's Degree,Educational Attainment.Bachelor's Degree or Higher,Science and Engineering Degrees.Computer Science,Science and Engineering Degrees.Engineering,Science and Engineering Degrees.Civil Engineering,Science and Engineering Degrees.Electrical Engineering,Science and Engineering Degrees.Mechanical Engineering,Science and Engineering Degrees.Mathematics,Science and Engineering Degrees.Biology,Science and Engineering Degrees.Chemistry,Science and Engineering Degrees.Psychology,Science and Engineering Degrees.Economics,Science and Engineering Degrees.Political Science,Science and Engineering Degrees.Sociology,Science and Engineering Degrees.Nursing,Science and Engineering Degrees.Other Science and Engineering Degrees2,Business Degrees.General Business,Business Degrees.Accounting,Business Degrees.Business Management and Adminstration,Business Degrees.Marketing,Business Degrees.Finance,Business Degrees.Other Business Degrees,Education Degrees.General Education,Education Degrees.Elementary Education,Education Degrees.Other Education Degrees,"Arts, Humanities and Other Degrees.Communications","Arts, Humanities and Other Degrees.English Language and Literature","Arts, Humanities and Other Degrees.Liberal Arts","Arts, Humanities and Other Degrees.History","Arts, Humanities and Other Degrees.Fine Arts","Arts, Humanities and Other Degrees.Commerical Art and Graphic Design","Arts, Humanities and Other Degrees.Family and Consumer Sciences","Arts, Humanities and Other Degrees.Physical Fitness, Parks, Recreation, and Leisure","Arts, Humanities and Other Degrees.Criminal Justice and Fire Protection","Arts, Humanities and Other Degrees.Social Work","Arts, Humanities and Other Degrees.Other Degrees"
Total Population age 25 to 64 with earnings1,40540.0,74150.0,108500.0,100600.0,99660.0,121600.0,106200.0,86560.0,81550.0,94680.0,62270.0,101400.0,86380.0,63660.0,79600.0,77910.0,80120.0,84880.0,75600.0,75930.0,99900.0,77160.0,58000.0,54900.0,58120.0,67840.0,65060.0,61380.0,73560.0,53450.0,59770.0,52850.0,61580.0,64690.0,55060.0,62100.0
Atlanta-Sandy Springs-Alpharetta GA,40740.0,76770.0,104100.0,95420.0,107000.0,117100.0,102400.0,91220.0,74610.0,83990.0,64170.0,108000.0,84590.0,68220.0,83250.0,81240.0,77750.0,85830.0,80260.0,79490.0,105900.0,85900.0,60050.0,60250.0,58850.0,76590.0,64930.0,62990.0,77760.0,65570.0,65160.0,54160.0,61770.0,61640.0,56100.0,65120.0
Austin-Round Rock-Georgetown TX,44190.0,81100.0,134400.0,120300.0,104900.0,142900.0,106500.0,77710.0,77460.0,79590.0,60860.0,94860.0,88030.0,73990.0,80020.0,84090.0,86770.0,95130.0,91220.0,81970.0,108400.0,82360.0,55410.0,55870.0,55740.0,62990.0,65880.0,64520.0,73910.0,58480.0,73950.0,65600.0,65410.0,73240.0,60430.0,66500.0
Baltimore-Columbia-Towson MD,45110.0,84330.0,119300.0,102200.0,104200.0,121200.0,118500.0,108600.0,89210.0,95780.0,68060.0,108700.0,105700.0,82050.0,82850.0,86680.0,95320.0,100500.0,84570.0,84000.0,104900.0,85710.0,73280.0,72060.0,68670.0,71830.0,78580.0,73170.0,83010.0,49510.0,68760.0,63880.0,71940.0,79900.0,63320.0,64220.0
Boston-Cambridge-Newton MA-NH,46460.0,90870.0,124500.0,107300.0,104200.0,128100.0,123300.0,109800.0,85840.0,122100.0,77280.0,118500.0,102300.0,82990.0,93040.0,94280.0,91320.0,101100.0,90930.0,89470.0,115700.0,89130.0,66400.0,75280.0,75760.0,85430.0,80490.0,62360.0,95710.0,56980.0,63730.0,65440.0,67960.0,82240.0,70180.0,74260.0
Charlotte-Concord-Gastonia NC-SC,40430.0,74000.0,105400.0,100400.0,110800.0,103300.0,107200.0,87120.0,92730.0,83070.0,64890.0,97030.0,78640.0,48970.0,76700.0,80960.0,86860.0,105400.0,75530.0,63970.0,107300.0,83340.0,55710.0,50930.0,50650.0,73840.0,53970.0,57660.0,70160.0,48810.0,57070.0,54820.0,51080.0,58380.0,48530.0,54560.0
Chicago-Naperville-Elgin IL-IN-WI,41670.0,79740.0,102200.0,100200.0,97220.0,114700.0,109300.0,89730.0,82490.0,87480.0,65240.0,105500.0,97920.0,63400.0,75270.0,82370.0,85890.0,94580.0,81960.0,84440.0,105800.0,81350.0,61670.0,63920.0,64670.0,79570.0,73540.0,62820.0,85890.0,52040.0,66040.0,53140.0,66030.0,73200.0,60770.0,64630.0
Cincinnati OH-KY-IN,41460.0,74090.0,110100.0,81590.0,84810.0,108400.0,116000.0,104300.0,72090.0,108400.0,65170.0,104900.0,75030.0,50230.0,72930.0,80500.0,80610.0,81660.0,81830.0,81400.0,92510.0,88550.0,55830.0,57540.0,63270.0,66630.0,59420.0,44360.0,74360.0,46340.0,58240.0,48240.0,53890.0,66370.0,45940.0,64130.0
Dallas-Fort Worth-Arlington TX,41020.0,78670.0,105800.0,97700.0,106900.0,120100.0,107200.0,92460.0,81370.0,73550.0,61550.0,99890.0,93120.0,66830.0,80030.0,79770.0,90600.0,92000.0,82110.0,77760.0,107500.0,83900.0,61400.0,59580.0,63140.0,63270.0,70450.0,60180.0,76750.0,52850.0,61040.0,50700.0,68560.0,66880.0,63510.0,70020.0
Denver-Aurora-Lakewood CO,47140.0,82210.0,112000.0,104500.0,92260.0,129500.0,120200.0,82140.0,79950.0,89180.0,71630.0,100700.0,90570.0,74720.0,77220.0,84170.0,92580.0,100000.0,88950.0,81330.0,115200.0,85730.0,54830.0,58420.0,62080.0,80920.0,66690.0,65970.0,82790.0,60170.0,65210.0,50340.0,72850.0,71380.0,52370.0,68210.0
Detroit-Warren-Dearborn MI,40230.0,79120.0,104600.0,104000.0,105700.0,115600.0,120100.0,78520.0,82420.0,93610.0,62770.0,102000.0,82200.0,67870.0,80860.0,80940.0,84580.0,82580.0,79430.0,77360.0,101000.0,77970.0,64230.0,54690.0,58150.0,61170.0,58260.0,57630.0,63610.0,53530.0,50670.0,44540.0,71750.0,62540.0,58030.0,64980.0
Houston-The Woodlands-Sugar Land TX,39340.0,75690.0,93880.0,115700.0,97680.0,111500.0,115900.0,76810.0,77320.0,100100.0,63700.0,102200.0,67790.0,53420.0,90930.0,82260.0,71030.0,85480.0,78020.0,80210.0,91080.0,72810.0,60450.0,60890.0,63690.0,63370.0,61960.0,67890.0,67780.0,42980.0,52670.0,56480.0,62920.0,61550.0,63410.0,64940.0
Las Vegas-Henderson-Paradise NV,39250.0,64500.0,73090.0,75380.0,77060.0,67900.0,100100.0,49290.0,80990.0,115700.0,59470.0,78620.0,76470.0,45630.0,85000.0,72790.0,70980.0,71240.0,65860.0,58810.0,55920.0,56740.0,52660.0,54880.0,62560.0,73080.0,50780.0,41540.0,67990.0,50160.0,51700.0,15490.0,55040.0,65040.0,61710.0,56150.0
Los Angeles-Long Beach-Anaheim CA,37550.0,81230.0,101700.0,102300.0,106000.0,127300.0,111700.0,95310.0,92250.0,91400.0,71940.0,96420.0,93630.0,69960.0,95480.0,85340.0,88950.0,85480.0,79460.0,81660.0,101200.0,81810.0,62730.0,70550.0,64330.0,81290.0,73810.0,69490.0,82380.0,62550.0,68500.0,60010.0,59620.0,74510.0,60600.0,66550.0
Miami-Fort Lauderdale-Pompano Beach FL,35690.0,63920.0,88460.0,62440.0,73260.0,100600.0,82530.0,80250.0,72710.0,63190.0,54490.0,71730.0,78220.0,60450.0,73100.0,65980.0,64860.0,71460.0,56670.0,73330.0,87100.0,68670.0,52990.0,53630.0,57340.0,54740.0,58370.0,51610.0,66680.0,42250.0,59040.0,61390.0,53320.0,64920.0,51090.0,61390.0
Minneapolis-St. Paul-Bloomington MN-WI,47410.0,79530.0,111900.0,100600.0,100900.0,116600.0,104900.0,97320.0,85400.0,108700.0,72520.0,96530.0,90200.0,66140.0,79480.0,78550.0,91960.0,95960.0,88600.0,81440.0,102100.0,90300.0,69250.0,58920.0,60010.0,72320.0,65920.0,72780.0,75750.0,60050.0,64350.0,52880.0,63220.0,79430.0,60000.0,65070.0
