.Select Metropolitan Statistical Areas,Educational Attainment.Less than a Bachelor's degree,Educational Attainment.Bachelor's Degree or Higher,Science and Engineering Degrees.Computer Science,Science and Engineering Degrees.Engineering,Science and Engineering Degrees.Civil Engineering,Science and Engineering Degrees.Electrical Engineering,Science and Engineering Degrees.Mechanical Engineering,Science and Engineering Degrees.Mathematics,Science and Engineering Degrees.Biology,Science and Engineering Degrees.Chemistry,Science and Engineering Degrees.Psychology,Science and Engineering Degrees.Economics,Science and Engineering Degrees.Political Science,Science and Engineering Degrees.Sociology,Science and Engineering Degrees.Nursing,Science and Engineering Degrees.Other Science and Engineering Degrees1,Business Degrees.General Business,Business Degrees.Accounting,Business Degrees.Business Management and Adminstration,Business Degrees.Marketing,Business Degrees.Finance,Business Degrees.Other Business Degrees,Education Degrees.General Education,Education Degrees.Elementary Education,Education Degrees.Other Education Degrees,"Arts, Humanities, and Other Degrees.Communications","Arts, Humanities, and Other Degrees.English Language and Literature","Arts, Humanities, and Other Degrees.Liberal Arts","Arts, Humanities, and Other Degrees.History","Arts, Humanities, and Other Degrees.Fine Arts","Arts, Humanities, and Other Degrees.Commerical Art and Graphic Design","Arts, Humanities, and Other Degrees.Family and Consumer Sciences","Arts, Humanities, and Other Degrees.Physical Fitness, Parks, Recreation, and Leisure","Arts, Humanities, and Other Degrees.Criminal Justice and Fire Protection","Arts, Humanities, and Other Degrees.Social Work","Arts, Humanities, and Other Degrees.Other Degrees"
Total Population age 25 to 64 with earnings,50.0,166.0,1597.0,1031.0,1702.0,1239.0,957.0,1476.0,707.0,2114.0,488.0,916.0,1325.0,837.0,813.0,460.0,711.0,1051.0,581.0,799.0,1779.0,882.0,731.0,550.0,478.0,1017.0,927.0,1044.0,1006.0,1303.0,1049.0,952.0,691.0,809.0,838.0,420.0
Atlanta-Sandy Springs-Alpharetta GA,425.0,995.0,5354.0,10270.0,7677.0,7464.0,8349.0,15880.0,7360.0,15510.0,2511.0,10530.0,6077.0,9905.0,4619.0,2493.0,7387.0,5478.0,3084.0,6911.0,6689.0,6832.0,3865.0,6920.0,2407.0,4922.0,7256.0,12560.0,8912.0,9346.0,3905.0,5853.0,9284.0,7260.0,13030.0,2277.0
Austin-Round Rock-Georgetown TX,1456.0,1374.0,4895.0,15380.0,15770.0,12920.0,15770.0,16880.0,9474.0,35110.0,6055.0,20090.0,10700.0,8651.0,8249.0,4776.0,10290.0,11390.0,14060.0,5156.0,29410.0,11140.0,5314.0,5075.0,5003.0,11200.0,7411.0,5716.0,8383.0,8582.0,22280.0,10450.0,17770.0,17790.0,3656.0,5393.0
Baltimore-Columbia-Towson MD,1203.0,1434.0,6664.0,7914.0,15470.0,17870.0,17950.0,13270.0,8614.0,7941.0,7825.0,9375.0,8084.0,13490.0,4596.0,2948.0,7158.0,6887.0,7059.0,15700.0,8494.0,6276.0,7210.0,5437.0,5724.0,11300.0,7580.0,13610.0,10260.0,17930.0,17640.0,17150.0,11430.0,17380.0,11250.0,4684.0
Boston-Cambridge-Newton MA-NH,780.0,694.8,5384.0,16990.0,17520.0,8867.0,9686.0,12180.0,4832.0,17250.0,4541.0,7496.0,9041.0,10940.0,4089.0,2119.0,3376.0,5761.0,4374.0,6001.0,14540.0,2556.0,7930.0,5475.0,7149.0,7895.0,5141.0,5892.0,5136.0,9115.0,10280.0,21590.0,12190.0,5532.0,13960.0,2367.0
Charlotte-Concord-Gastonia NC-SC,597.0,1623.0,10770.0,22440.0,28650.0,7578.0,9914.0,20390.0,16590.0,32540.0,5671.0,9601.0,18340.0,25300.0,9850.0,4406.0,8059.0,7159.0,7108.0,7606.0,13970.0,11360.0,2363.0,3870.0,3320.0,4312.0,5971.0,12890.0,13080.0,16360.0,7299.0,9660.0,9113.0,3005.0,8551.0,5693.0
Chicago-Naperville-Elgin IL-IN-WI,323.0,1097.0,4889.0,9249.0,12070.0,10140.0,9624.0,5279.0,3478.0,13050.0,4059.0,5474.0,7644.0,7548.0,3346.0,1614.0,5286.0,4342.0,3388.0,5656.0,5085.0,3603.0,2073.0,3396.0,3563.0,5684.0,4640.0,10380.0,7718.0,3946.0,8078.0,11470.0,4369.0,6519.0,6928.0,3277.0
Cincinnati OH-KY-IN,641.0,1323.0,8955.0,21290.0,18610.0,9949.0,13530.0,26860.0,8657.0,25750.0,5953.0,44930.0,16730.0,23270.0,4278.0,3506.0,12430.0,8307.0,8647.0,11300.0,19460.0,13600.0,7260.0,11650.0,3273.0,4533.0,8677.0,25210.0,11760.0,7425.0,8267.0,11190.0,6211.0,6096.0,10210.0,8571.0
Dallas-Fort Worth-Arlington TX,402.0,1560.0,3567.0,6661.0,9750.0,8818.0,10990.0,13830.0,8065.0,18670.0,4099.0,9657.0,9971.0,5425.0,4908.0,2999.0,8770.0,4377.0,4016.0,7419.0,17900.0,5604.0,1359.0,1700.0,2524.0,3274.0,4827.0,6061.0,11540.0,8794.0,7905.0,10430.0,5899.0,5063.0,4817.0,3167.0
Denver-Aurora-Lakewood CO,998.0,1027.0,6930.0,17100.0,4702.0,12670.0,9691.0,15550.0,6626.0,13160.0,5388.0,7188.0,12530.0,12820.0,4783.0,2911.0,11860.0,7739.0,6290.0,4995.0,13250.0,13350.0,7232.0,8945.0,5774.0,2621.0,7864.0,11250.0,7011.0,6021.0,5341.0,16540.0,5216.0,12570.0,7271.0,5194.0
