Field of Degree,Total Population.Estimate,Total Population.MOE,"White Alone, Non-Hispanic.Estimate","White Alone, Non-Hispanic.MOE","Black Alone, Non-Hispanic.Estimate","Black Alone, Non-Hispanic.MOE","Asian Alone, Non-Hispanic.Estimate","Asian Alone, Non-Hispanic.MOE","Other or Multiple Races, Non-Hispanic.Estimate","Other or Multiple Races, Non-Hispanic.MOE","Hispanic, of Any Race.Estimate","Hispanic, of Any Race.MOE"
Population 25 to 64 with a Bachelor's Degree or Higher with earnings,74150,165.7,76430,149.4,62000,362,91190,563.1,70510,797.1,61500,355.6
Computer Science,108500,1597.0,113600,2409.0,76950,3757,120700,2408.0,104300,4868.0,86080,3530.0
Engineering,100600,1031.0,104400,1555.0,86070,7068,110900,6541.0,89810,12000.0,69480,8901.0
Civil Engineering,99660,1702.0,104100,1803.0,73580,8934,97950,3772.0,91530,8235.0,80660,4894.0
Electrical Engineering,121600,1239.0,124500,1486.0,87920,10140,129800,3076.0,114500,15580.0,90580,4793.0
Mechanical Engineering,106200,957.2,109400,1988.0,85350,4646,112700,3619.0,101900,8043.0,84040,5376.0
Mathematics,86560,1476.0,89790,2569.0,72510,7238,100500,4737.0,91560,6909.0,65330,5263.0
Biology,81550,706.8,83390,1109.0,63750,2385,100100,5563.0,77780,5144.0,69300,3533.0
Chemistry,94680,2114.0,100400,2130.0,72210,6923,101100,3937.0,87240,11670.0,71490,6386.0
Psychology,62270,488.2,64430,637.0,56150,2314,73570,2482.0,60480,1980.0,54190,1400.0
Economics,101400,916.1,107400,1438.0,73590,6897,97230,5569.0,100600,7658.0,76460,4040.0
Political Science,86380,1325.0,93760,1752.0,63390,1773,85540,6805.0,81140,6556.0,71990,3421.0
Sociology,63660,836.9,66250,1537.0,57660,2549,69910,6088.0,66310,4278.0,60340,2938.0
Nursing,79600,812.7,78940,888.7,80870,1765,88390,3072.0,78550,3200.0,70100,2593.0
Other Science and Engineering Degrees1,77910,460.3,80080,355.3,62920,1137,98440,2057.0,72820,1560.0,63050,995.7
General Business,80120,710.7,85100,905.3,60690,2015,75650,2936.0,80320,3975.0,65900,3280.0
Accounting,84880,1051.0,94720,1128.0,67070,2605,78490,3572.0,81870,3291.0,62550,1772.0
Business Management and Adminstration,75600,581.2,82290,599.1,61890,1127,75610,2604.0,71910,2148.0,59780,1644.0
Marketing,75930,798.6,80700,875.8,63060,2619,71200,4219.0,72780,4193.0,60910,2219.0
Finance,99900,1779.0,105000,1019.0,74440,3790,93120,4593.0,100200,12670.0,77430,4038.0
Other Business Degrees,77160,882.2,83460,1400.0,63500,2656,75220,4646.0,76730,6051.0,61270,1640.0
General Education,58000,730.8,59870,689.2,54740,1636,58580,4667.0,56420,2543.0,52110,1323.0
Elementary Education,54900,549.8,55100,554.2,60010,2596,51170,2302.0,52230,2307.0,52920,2113.0
Other Education Degrees,58120,477.6,59000,491.7,56360,1662,56240,3802.0,55700,1775.0,53320,1649.0
Communications,67840,1017.0,71290,982.7,59010,2692,74680,3871.0,62330,3002.0,60240,2470.0
English Language and Literature,65060,927.0,66990,1161.0,61750,2781,64800,3472.0,63070,3208.0,56890,2545.0
Liberal Arts,61380,1044.0,63780,1152.0,49270,3446,60920,5993.0,58740,5733.0,58410,2994.0
History,73560,1006.0,76100,1141.0,62710,2199,72590,7341.0,68010,6212.0,63690,2482.0
Fine Arts,53450,1303.0,54340,1803.0,47470,5006,60970,5181.0,55840,4477.0,47340,3206.0
Commerical Art and Graphic Design,59770,1049.0,61930,1022.0,52240,2693,63190,2653.0,53630,2707.0,50870,2641.0
Family and Consumer Sciences,52850,951.6,53020,1182.0,51220,2286,62000,3520.0,51860,3839.0,49620,3152.0
"Physical Fitness, Parks, Recreation, and Leisure",61580,691.3,63520,947.7,51530,2914,64900,3710.0,63370,4694.0,52080,2490.0
Criminal Justice and Fire Protection,64690,809.2,70370,1104.0,57480,2290,69320,4027.0,62320,2035.0,57930,2397.0
Social Work,55060,838.0,56040,1051.0,54160,2498,61930,5628.0,53330,1904.0,52120,1691.0
Other Degrees,62100,419.6,64550,498.9,53780,1343,60350,2190.0,60740,1485.0,53090,1381.0
