Field of Degree,Total Population.Estimate,Total Population.MOE,"White Alone, Non-Hispanic.Estimate","White Alone, Non-Hispanic.MOE","Black Alone, Non-Hispanic.Estimate","Black Alone, Non-Hispanic.MOE","Asian Alone, Non-Hispanic.Estimate","Asian Alone, Non-Hispanic.MOE","Other or Multiple Races, Non-Hispanic.Estimate","Other or Multiple Races, Non-Hispanic.MOE","Hispanic, of Any Race.Estimate","Hispanic, of Any Race.MOE"
Population 25 to 64 with a Bachelor's Degree or Higher with earnings,74150.0,165.7,76430.0,149.4,62000.0,362.0,91190.0,563.1,70510.0,797.1,61500.0,355.6
Science and Engineering Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Computer Science,108500.0,1597.0,113600.0,2409.0,76950.0,3757.0,120700.0,2408.0,104300.0,4868.0,86080.0,3530.0
Engineering,100600.0,1031.0,104400.0,1555.0,86070.0,7068.0,110900.0,6541.0,89810.0,12000.0,69480.0,8901.0
Civil Engineering,99660.0,1702.0,104100.0,1803.0,73580.0,8934.0,97950.0,3772.0,91530.0,8235.0,80660.0,4894.0
Electrical Engineering,121600.0,1239.0,124500.0,1486.0,87920.0,10140.0,129800.0,3076.0,114500.0,15580.0,90580.0,4793.0
Mechanical Engineering,106200.0,957.2,109400.0,1988.0,85350.0,4646.0,112700.0,3619.0,101900.0,8043.0,84040.0,5376.0
Mathematics,86560.0,1476.0,89790.0,2569.0,72510.0,7238.0,100500.0,4737.0,91560.0,6909.0,65330.0,5263.0
Biology,81550.0,706.8,83390.0,1109.0,63750.0,2385.0,100100.0,5563.0,77780.0,5144.0,69300.0,3533.0
Chemistry,94680.0,2114.0,100400.0,2130.0,72210.0,6923.0,101100.0,3937.0,87240.0,11670.0,71490.0,6386.0
Psychology,62270.0,488.2,64430.0,637.0,56150.0,2314.0,73570.0,2482.0,60480.0,1980.0,54190.0,1400.0
Economics,101400.0,916.1,107400.0,1438.0,73590.0,6897.0,97230.0,5569.0,100600.0,7658.0,76460.0,4040.0
Political Science,86380.0,1325.0,93760.0,1752.0,63390.0,1773.0,85540.0,6805.0,81140.0,6556.0,71990.0,3421.0
Sociology,63660.0,836.9,66250.0,1537.0,57660.0,2549.0,69910.0,6088.0,66310.0,4278.0,60340.0,2938.0
Nursing,79600.0,812.7,78940.0,888.7,80870.0,1765.0,88390.0,3072.0,78550.0,3200.0,70100.0,2593.0
Other Science and Engineering Degrees1,77910.0,460.3,80080.0,355.3,62920.0,1137.0,98440.0,2057.0,72820.0,1560.0,63050.0,995.7
Business Degrees,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
General Business,80120.0,710.7,85100.0,905.3,60690.0,2015.0,75650.0,2936.0,80320.0,3975.0,65900.0,3280.0
Accounting,84880.0,1051.0,94720.0,1128.0,67070.0,2605.0,78490.0,3572.0,81870.0,3291.0,62550.0,1772.0
Business Management and Adminstration,75600.0,581.2,82290.0,599.1,61890.0,1127.0,75610.0,2604.0,71910.0,2148.0,59780.0,1644.0
Marketing,75930.0,798.6,80700.0,875.8,63060.0,2619.0,71200.0,4219.0,72780.0,4193.0,60910.0,2219.0
Finance,99900.0,1779.0,105000.0,1019.0,74440.0,3790.0,93120.0,4593.0,100200.0,12670.0,77430.0,4038.0
Other Business Degrees,77160.0,882.2,83460.0,1400.0,63500.0,2656.0,75220.0,4646.0,76730.0,6051.0,61270.0,1640.0
