Field of Degree,Total Population.Estimate,Total Population.MOE,Men.Estimate,Men.MOE,Women.Estimate,Women.MOE,Women's Earnings as a Percentage of Men's Earnings.Estimate,Women's Earnings as a Percentage of Men's Earnings.MOE
Population 25 to 64 with a Bachelor's Degree or Higher with earnings,74150,165.7,89300,358.2,63230,131.9,70.8,0.3
Computer Science,108500,1597.0,115500,1749.0,91990,2082.0,79.6,2.2
Engineering,100600,1031.0,103300,1409.0,76160,6168.0,73.7,6.1
Civil Engineering,99660,1702.0,101900,1048.0,86590,3583.0,85.0,3.6
Electrical Engineering,121600,1239.0,123800,1203.0,105200,2719.0,85.0,2.3
Mechanical Engineering,106200,957.2,108000,1584.0,92380,3243.0,85.5,3.3
Mathematics,86560,1476.0,99050,3109.0,73500,1814.0,74.2,3.0
Biology,81550,706.8,96620,2112.0,72200,961.4,74.7,1.9
Chemistry,94680,2114.0,103000,1802.0,80180,3164.0,77.8,3.4
Psychology,62270,488.2,76090,1168.0,58490,805.7,76.9,1.6
Economics,101400,916.1,107300,1277.0,84750,2198.0,79.0,2.3
Political Science,86380,1325.0,94950,2075.0,77090,1463.0,81.2,2.3
Sociology,63660,836.9,75030,3295.0,59470,1082.0,79.3,3.8
Nursing,79600,812.7,90890,1569.0,77640,783.9,85.4,1.7
Other Science and Engineering Degrees1,77910,460.3,92050,425.4,65150,429.9,70.8,0.6
General Business,80120,710.7,90080,1351.0,66690,1431.0,74.0,1.9
Accounting,84880,1051.0,100000,1751.0,75010,1155.0,75.0,1.7
Business Management and Adminstration,75600,581.2,87090,949.5,63640,588.1,73.1,1.0
Marketing,75930,798.6,89420,2472.0,66090,1402.0,73.9,2.6
Finance,99900,1779.0,106400,1202.0,79940,1713.0,75.1,1.8
Other Business Degrees,77160,882.2,91000,1361.0,64900,1218.0,71.3,1.7
General Education,58000,730.8,68420,2078.0,55030,567.6,80.4,2.6
Elementary Education,54900,549.8,64380,2283.0,54070,543.6,84.0,3.1
Other Education Degrees,58120,477.6,66560,897.1,54600,481.2,82.0,1.3
Communications,67840,1017.0,75400,1336.0,64130,780.4,85.1,1.8
English Language and Literature,65060,927.0,75850,1488.0,61150,820.0,80.6,1.9
Liberal Arts,61380,1044.0,70850,3288.0,55790,1988.0,78.7,4.6
History,73560,1006.0,81270,1116.0,62980,1455.0,77.5,2.1
Fine Arts,53450,1303.0,60900,1630.0,49530,1767.0,81.3,3.6
Commerical Art and Graphic Design,59770,1049.0,69930,1932.0,54350,1047.0,77.7,2.6
Family and Consumer Sciences,52850,951.6,70440,6831.0,51590,1157.0,73.2,7.3
"Physical Fitness, Parks, Recreation, and Leisure",61580,691.3,65120,1259.0,55600,1458.0,85.4,2.8
Criminal Justice and Fire Protection,64690,809.2,74250,1150.0,54150,829.9,72.9,1.6
Social Work,55060,838.0,60090,2905.0,54380,742.7,90.5,4.5
Other Degrees,62100,419.6,69830,903.6,55740,638.6,79.8,1.4
