Field of Degree,Total Population.Estimate,Total Population.MOE,Men.Estimate,Men.MOE,Women.Estimate,Women.MOE,Women's Earnings as a Percentage of Men's Earnings.Estimate,Women's Earnings as a Percentage of Men's Earnings.MOE
Population 25 to 64 with a Bachelor's Degree or Higher with earnings,74150.0,165.7,89300.0,358.2,63230.0,131.9,70.8,0.3
Science and Engineering Degrees,nan,nan,nan,nan,nan,nan,nan,nan
Computer Science,108500.0,1597.0,115500.0,1749.0,91990.0,2082.0,79.6,2.2
Engineering,100600.0,1031.0,103300.0,1409.0,76160.0,6168.0,73.7,6.1
Civil Engineering,99660.0,1702.0,101900.0,1048.0,86590.0,3583.0,85.0,3.6
Electrical Engineering,121600.0,1239.0,123800.0,1203.0,105200.0,2719.0,85.0,2.3
Mechanical Engineering,106200.0,957.2,108000.0,1584.0,92380.0,3243.0,85.5,3.3
Mathematics,86560.0,1476.0,99050.0,3109.0,73500.0,1814.0,74.2,3.0
Biology,81550.0,706.8,96620.0,2112.0,72200.0,961.4,74.7,1.9
Chemistry,94680.0,2114.0,103000.0,1802.0,80180.0,3164.0,77.8,3.4
Psychology,62270.0,488.2,76090.0,1168.0,58490.0,805.7,76.9,1.6
Economics,101400.0,916.1,107300.0,1277.0,84750.0,2198.0,79.0,2.3
Political Science,86380.0,1325.0,94950.0,2075.0,77090.0,1463.0,81.2,2.3
Sociology,63660.0,836.9,75030.0,3295.0,59470.0,1082.0,79.3,3.8
Nursing,79600.0,812.7,90890.0,1569.0,77640.0,783.9,85.4,1.7
Other Science and Engineering Degrees1,77910.0,460.3,92050.0,425.4,65150.0,429.9,70.8,0.6
Business Degrees,nan,nan,nan,nan,nan,nan,nan,nan
General Business,80120.0,710.7,90080.0,1351.0,66690.0,1431.0,74.0,1.9
Accounting,84880.0,1051.0,100000.0,1751.0,75010.0,1155.0,75.0,1.7
Business Management and Adminstration,75600.0,581.2,87090.0,949.5,63640.0,588.1,73.1,1.0
Marketing,75930.0,798.6,89420.0,2472.0,66090.0,1402.0,73.9,2.6
Finance,99900.0,1779.0,106400.0,1202.0,79940.0,1713.0,75.1,1.8
Other Business Degrees,77160.0,882.2,91000.0,1361.0,64900.0,1218.0,71.3,1.7
Education Degrees,nan,nan,nan,nan,nan,nan,nan,nan
General Education,58000.0,730.8,68420.0,2078.0,55030.0,567.6,80.4,2.6
Elementary Education,54900.0,549.8,64380.0,2283.0,54070.0,543.6,84.0,3.1
Other Education Degrees,58120.0,477.6,66560.0,897.1,54600.0,481.2,82.0,1.3
Arts Humanities and Other Degrees,nan,nan,nan,nan,nan,nan,nan,nan
Communications,67840.0,1017.0,75400.0,1336.0,64130.0,780.4,85.1,1.8
English Language and Literature,65060.0,927.0,75850.0,1488.0,61150.0,820.0,80.6,1.9
Liberal Arts,61380.0,1044.0,70850.0,3288.0,55790.0,1988.0,78.7,4.6
History,73560.0,1006.0,81270.0,1116.0,62980.0,1455.0,77.5,2.1
Fine Arts,53450.0,1303.0,60900.0,1630.0,49530.0,1767.0,81.3,3.6
Commerical Art and Graphic Design,59770.0,1049.0,69930.0,1932.0,54350.0,1047.0,77.7,2.6
Family and Consumer Sciences,52850.0,951.6,70440.0,6831.0,51590.0,1157.0,73.2,7.3
Physical Fitness Parks Recreation and Leisure,61580.0,691.3,65120.0,1259.0,55600.0,1458.0,85.4,2.8
Criminal Justice and Fire Protection,64690.0,809.2,74250.0,1150.0,54150.0,829.9,72.9,1.6
Social Work,55060.0,838.0,60090.0,2905.0,54380.0,742.7,90.5,4.5
Other Degrees,62100.0,419.6,69830.0,903.6,55740.0,638.6,79.8,1.4
Source: U.S. Census Bureau 2022 American Community Survey 1-year estimates. For more information refer to <www.census.gov/acs>.,nan,nan,nan,nan,nan,nan,nan,nan
The Census Bureau has reviewed this data product to ensure appropriate access use and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-001-0000001262 Disclosure Review Board (DRB) approval number: CBDRB-FY23-SEHSD003-068.,nan,nan,nan,nan,nan,nan,nan,nan
"Note: 1. Science and Engineering related fields are included within the ""other science and engineering degrees"" category.",nan,nan,nan,nan,nan,nan,nan,nan
