Select Metropolitan Statistical Areas,Total Population,Educational Attainment.Less than a Bachelor's Degree,Educational Attainment.All Bachelor's Degree Holders,Science and Engineering Degrees.Computer Science,Science and Engineering Degrees.Engineering,Science and Engineering Degrees.Civil Engineering,Science and Engineering Degrees.Electrical Engineering,Science and Engineering Degrees.Mechanical Engineering,Science and Engineering Degrees.Mathematics,Science and Engineering Degrees.Biology,Science and Engineering Degrees.Chemistry,Science and Engineering Degrees.Psychology,Science and Engineering Degrees.Economics,Science and Engineering Degrees.Political Science,Science and Engineering Degrees.Sociology,Science and Engineering Degrees.Nursing,Science and Engineering Degrees.Other Science and Engineering Degrees2,Business Degrees.General Business,Business Degrees.Accounting,Business Degrees.Business Management and Adminstration,Business Degrees.Marketing,Business Degrees.Finance,Business Degrees.Other Business Degrees,Education Degrees.General Education,Education Degrees.Elementary Education,Education Degrees.Other Education Degrees,"Arts, Humanities and Other Degrees.Communications","Arts, Humanities and Other Degrees.English Language and Literature","Arts, Humanities and Other Degrees.Liberal Arts","Arts, Humanities and Other Degrees.History","Arts, Humanities and Other Degrees.Fine Arts","Arts, Humanities and Other Degrees.Commerical Art and Graphic Design","Arts, Humanities and Other Degrees.Family and Consumer Sciences","Arts, Humanities and Other Degrees.Physical Fitness, Parks, Recreation, and Leisure","Arts, Humanities and Other Degrees.Criminal Justice and Fire Protection","Arts, Humanities and Other Degrees.Social Work","Arts, Humanities and Other Degrees.Other Degrees"
Population 25 to 641,171900000,62.7,37.3,2.6,1.1,0.9,1.9,1.6,1.1,3.4,1.0,4.8,2.0,2.2,1.4,4.4,18.53,4.4,3.6,6.0,2.4,2.2,2.5,2.9,2.3,3.2,2.6,2.6,1.2,1.8,1.1,1.1,0.8,1.3,2.2,1.0,8.0
"Atlanta-Sandy Springs-Alpharetta, GA",3349000,56.3,43.7,3.2,1.2,0.9,2.0,1.5,1.1,3.4,0.8,4.9,1.8,2.0,1.4,3.4,17.3,4.5,4.4,7.8,3.2,3.0,2.8,3.1,1.3,3.1,2.5,2.1,0.6,1.4,1.1,1.3,0.6,1.3,2.3,0.7,8.1
"Austin-Round Rock-Georgetown, TX",1376000,46.7,53.3,5.0,1.3,1.2,3.4,1.8,1.2,2.8,0.6,4.5,2.0,2.4,1.2,2.9,17.7,3.8,3.3,5.6,2.6,2.7,2.6,2.3,1.4,1.9,3.0,2.8,1.1,2.0,1.5,1.2,0.5,1.7,1.6,0.7,9.5
"Baltimore-Columbia-Towson, MD",1495000,52.7,47.3,3.3,0.7,0.7,2.5,1.5,1.8,4.0,1.4,5.1,2.0,2.7,1.6,4.2,18.5,4.0,3.1,6.1,1.5,2.0,2.5,2.2,2.0,3.0,2.3,3.2,0.9,2.0,1.1,0.9,0.5,1.2,2.2,1.0,8.3
"Boston-Cambridge-Newton, MA-NH",2629000,44.8,55.2,3.1,1.2,0.9,2.6,1.9,1.5,4.0,1.5,5.1,3.3,3.0,1.4,3.2,19.1,4.0,3.1,4.9,2.3,2.7,2.1,2.1,1.2,1.9,2.6,3.9,0.9,2.3,0.9,1.1,0.4,1.0,1.9,0.7,8.1
"Charlotte-Concord-Gastonia, NC-SC",1484000,56.9,43.1,2.9,1.4,0.7,1.6,1.8,1.1,2.7,0.8,4.7,1.9,1.9,1.1,3.5,15.1,6.5,3.6,8.3,3.6,3.3,3.4,2.8,2.7,2.7,3.1,2.3,0.6,2.0,0.8,0.9,0.6,1.7,2.7,0.9,6.6
"Chicago-Naperville-Elgin, IL-IN-WI",4997000,56.3,43.7,2.8,1.2,0.9,2.0,1.5,1.2,3.3,1.1,4.5,2.4,2.2,1.3,4.0,16.3,4.2,4.3,5.1,3.3,3.7,2.7,2.5,2.2,3.1,3.3,2.7,1.2,1.8,1.2,1.6,0.6,1.1,1.8,1.0,8.0
"Cincinnati, OH-KY-IN",1160000,60.0,40.0,1.7,0.8,0.7,2.0,2.5,0.9,4.0,1.1,3.8,1.4,2.0,0.7,6.2,18.0,4.8,3.7,5.1,3.6,2.7,2.1,2.9,2.3,3.9,3.4,2.3,0.8,1.9,1.1,1.5,0.8,1.1,2.1,1.2,6.9
"Dallas-Fort Worth-Arlington, TX",4247000,59.4,40.6,3.7,1.5,0.8,3.3,1.6,1.0,2.6,0.6,3.6,2.0,1.8,0.9,4.2,17.6,5.6,4.3,6.2,3.3,3.5,3.2,3.2,1.8,2.2,2.5,1.8,1.3,1.6,0.7,0.9,0.8,1.4,2.2,0.9,7.2
"Denver-Aurora-Lakewood, CO",1693000,49.1,50.9,2.3,1.2,1.5,2.0,1.9,1.3,3.4,0.7,5.0,2.3,2.5,1.8,3.2,20.7,4.9,3.0,4.8,3.3,2.6,2.6,1.3,1.2,1.8,3.6,2.6,0.8,1.9,1.0,1.1,0.8,1.7,1.2,0.8,9.1
"Detroit-Warren-Dearborn, MI",2276000,63.0,37.0,2.8,2.0,0.6,2.9,4.8,0.9,2.7,0.7,4.0,1.6,1.7,0.8,4.4,17.7,5.1,3.5,6.3,3.0,2.5,3.4,2.6,2.6,2.8,2.5,2.1,1.1,1.1,1.0,1.1,0.5,1.1,2.1,1.5,6.4
