Select Metropolitan Statistical Areas.Population 25 to 64,Total Population (2022).59800,Less than a Bachelor's degree.0.13,All Bachelor's Degree Holders.0.13,Computer Science.0.04,Engineering.0.03,Civil Engineering.0.02,Electrical Engineering.0.03,Mechanical Engineering.0.03,Mathematics.0.02,Biology.0.04,Chemistry.0.02,Psychology.0.05,Economics.0.03,Political Science.0.04,Sociology.0.03,Nursing.0.05,Other Science and Engineering Degrees1.0.08,General Business.0.05,Accounting.0.04,Business Management and Adminstration.0.05,Marketing.0.04,Finance.0.03,Other Business Degrees.0.04,General Education.0.05,Elementary Education.0.03,Other Education Degrees.0.04,Communications.0.04,English Language and Literature.0.03,Liberal Arts.0.02,History.0.03,Fine Arts.0.03,Commerical Art and Graphic Design.0.03,Family and Consumer Sciences.0.02,"Physical Fitness, Parks, Recreation, and Leisure.0.03",Criminal Justice and Fire Protection.0.04,Social Work.0.02,Other Degrees.0.07
Atlanta-Sandy Springs-Alpharetta GA,6299.0,0.54,0.54,0.25,0.17,0.14,0.2,0.19,0.17,0.31,0.12,0.35,0.21,0.22,0.2,0.27,0.57,0.34,0.36,0.47,0.23,0.28,0.26,0.3,0.17,0.25,0.27,0.22,0.1,0.19,0.17,0.16,0.13,0.19,0.28,0.14,0.41
Austin-Round Rock-Georgetown TX,2007.0,1.13,1.13,0.51,0.33,0.24,0.42,0.3,0.28,0.35,0.14,0.47,0.34,0.39,0.28,0.42,0.79,0.52,0.42,0.49,0.35,0.37,0.4,0.32,0.2,0.34,0.42,0.34,0.26,0.37,0.27,0.25,0.14,0.33,0.38,0.2,0.74
Baltimore-Columbia-Towson MD,2403.0,0.73,0.73,0.37,0.14,0.18,0.38,0.34,0.26,0.45,0.22,0.56,0.31,0.32,0.28,0.43,0.86,0.5,0.38,0.5,0.26,0.37,0.32,0.27,0.36,0.35,0.34,0.38,0.19,0.28,0.27,0.19,0.18,0.24,0.36,0.19,0.53
Boston-Cambridge-Newton MA-NH,2571.0,0.61,0.61,0.23,0.16,0.15,0.21,0.19,0.15,0.25,0.16,0.34,0.33,0.25,0.16,0.26,0.59,0.31,0.29,0.3,0.22,0.25,0.21,0.22,0.15,0.18,0.23,0.3,0.14,0.19,0.12,0.16,0.09,0.15,0.18,0.12,0.4
Charlotte-Concord-Gastonia NC-SC,3456.0,0.98,0.98,0.38,0.3,0.21,0.33,0.33,0.21,0.35,0.18,0.52,0.29,0.27,0.24,0.42,0.81,0.66,0.38,0.66,0.45,0.37,0.41,0.41,0.36,0.39,0.51,0.35,0.15,0.3,0.28,0.18,0.17,0.34,0.41,0.24,0.61
Chicago-Naperville-Elgin IL-IN-WI,2834.0,0.4,0.4,0.21,0.15,0.12,0.18,0.16,0.13,0.22,0.15,0.23,0.22,0.15,0.16,0.23,0.5,0.26,0.26,0.3,0.22,0.21,0.23,0.21,0.17,0.19,0.23,0.26,0.14,0.15,0.14,0.18,0.09,0.1,0.19,0.14,0.33
Cincinnati OH-KY-IN,3433.0,0.9,0.9,0.37,0.3,0.24,0.43,0.41,0.24,0.51,0.26,0.5,0.28,0.42,0.18,0.67,0.96,0.63,0.45,0.58,0.49,0.42,0.36,0.35,0.43,0.4,0.45,0.33,0.23,0.46,0.25,0.25,0.27,0.34,0.37,0.35,0.69
Dallas-Fort Worth-Arlington TX,3288.0,0.47,0.47,0.32,0.22,0.11,0.29,0.19,0.15,0.24,0.13,0.24,0.25,0.22,0.13,0.33,0.58,0.36,0.31,0.39,0.27,0.35,0.27,0.26,0.19,0.24,0.23,0.16,0.19,0.15,0.1,0.12,0.14,0.19,0.23,0.15,0.45
Denver-Aurora-Lakewood CO,2423.0,0.7,0.7,0.29,0.23,0.26,0.25,0.23,0.24,0.3,0.15,0.4,0.3,0.33,0.27,0.28,0.63,0.4,0.29,0.38,0.35,0.23,0.31,0.19,0.18,0.26,0.37,0.3,0.17,0.24,0.19,0.2,0.18,0.25,0.2,0.18,0.52
Detroit-Warren-Dearborn MI,1126.0,0.54,0.54,0.39,0.28,0.11,0.3,0.43,0.16,0.22,0.13,0.4,0.23,0.24,0.18,0.37,0.79,0.49,0.36,0.49,0.3,0.28,0.36,0.3,0.3,0.25,0.31,0.21,0.17,0.17,0.18,0.2,0.14,0.17,0.31,0.22,0.45
Houston-The Woodlands-Sugar Land TX,2854.0,0.55,0.55,0.4,0.29,0.25,0.33,0.37,0.17,0.44,0.23,0.4,0.21,0.25,0.13,0.35,0.73,0.39,0.39,0.46,0.26,0.35,0.35,0.35,0.2,0.26,0.26,0.23,0.17,0.18,0.14,0.1,0.13,0.27,0.28,0.15,0.42
Las Vegas-Henderson-Paradise NV,704.0,0.97,0.97,0.57,0.3,0.27,0.38,0.22,0.2,0.54,0.22,0.61,0.34,0.52,0.29,0.55,1.55,0.75,0.58,1.0,0.56,0.37,0.77,0.62,0.48,0.51,0.49,0.35,0.39,0.28,0.3,0.39,0.25,0.68,0.52,0.34,0.99
Los Angeles-Long Beach-Anaheim CA,1532.0,0.32,0.32,0.17,0.11,0.1,0.16,0.13,0.1,0.19,0.09,0.26,0.18,0.18,0.16,0.19,0.42,0.27,0.18,0.22,0.15,0.15,0.19,0.17,0.08,0.12,0.19,0.19,0.11,0.14,0.15,0.13,0.11,0.11,0.13,0.09,0.32
