Select Metropolitan Statistical Areas,Educational Attainment.Less than a Bachelor's Degree,Educational Attainment.Bachelor's Degree or Higher,Science and Engineering Degrees.Computer Science,Science and Engineering Degrees.Engineering,Science and Engineering Degrees.Civil Engineering,Science and Engineering Degrees.Electrical Engineering,Science and Engineering Degrees.Mechanical Engineering,Science and Engineering Degrees.Mathematics,Science and Engineering Degrees.Biology,Science and Engineering Degrees.Chemistry,Science and Engineering Degrees.Psychology,Science and Engineering Degrees.Economics,Science and Engineering Degrees.Political Science,Science and Engineering Degrees.Sociology,Science and Engineering Degrees.Nursing,Science and Engineering Degrees.Other Science and Engineering Degrees2,Business Degrees.General Business,Business Degrees.Accounting,Business Degrees.Business Management and Adminstration,Business Degrees.Marketing,Business Degrees.Finance,Business Degrees.Other Business Degrees,Education Degrees.General Education,Education Degrees.Elementary Education,Education Degrees.Other Education Degrees,"Arts, Humanities and Other Degrees.Communications","Arts, Humanities and Other Degrees.English Language and Literature","Arts, Humanities and Other Degrees.Liberal Arts","Arts, Humanities and Other Degrees.History","Arts, Humanities and Other Degrees.Fine Arts","Arts, Humanities and Other Degrees.Commerical Art and Graphic Design","Arts, Humanities and Other Degrees.Family and Consumer Sciences","Arts, Humanities and Other Degrees.Physical Fitness, Parks, Recreation, and Leisure","Arts, Humanities and Other Degrees.Criminal Justice and Fire Protection","Arts, Humanities and Other Degrees.Social Work","Arts, Humanities and Other Degrees.Other Degrees"
Total Population age 25 to 64 with earnings1,40540,74150,108500,100600,99660,121600,106200,86560,81550,94680,62270,101400,86380,63660,79600,77910,80120,84880,75600,75930,99900,77160,58000,54900,58120,67840,65060,61380,73560,53450,59770,52850,61580,64690,55060,62100
"Atlanta-Sandy Springs-Alpharetta, GA",40740,76770,104100,95420,107000,117100,102400,91220,74610,83990,64170,108000,84590,68220,83250,81240,77750,85830,80260,79490,105900,85900,60050,60250,58850,76590,64930,62990,77760,65570,65160,54160,61770,61640,56100,65120
"Austin-Round Rock-Georgetown, TX",44190,81100,134400,120300,104900,142900,106500,77710,77460,79590,60860,94860,88030,73990,80020,84090,86770,95130,91220,81970,108400,82360,55410,55870,55740,62990,65880,64520,73910,58480,73950,65600,65410,73240,60430,66500
"Baltimore-Columbia-Towson, MD",45110,84330,119300,102200,104200,121200,118500,108600,89210,95780,68060,108700,105700,82050,82850,86680,95320,100500,84570,84000,104900,85710,73280,72060,68670,71830,78580,73170,83010,49510,68760,63880,71940,79900,63320,64220
"Boston-Cambridge-Newton, MA-NH",46460,90870,124500,107300,104200,128100,123300,109800,85840,122100,77280,118500,102300,82990,93040,94280,91320,101100,90930,89470,115700,89130,66400,75280,75760,85430,80490,62360,95710,56980,63730,65440,67960,82240,70180,74260
"Charlotte-Concord-Gastonia, NC-SC",40430,74000,105400,100400,110800,103300,107200,87120,92730,83070,64890,97030,78640,48970,76700,80960,86860,105400,75530,63970,107300,83340,55710,50930,50650,73840,53970,57660,70160,48810,57070,54820,51080,58380,48530,54560
"Chicago-Naperville-Elgin, IL-IN-WI",41670,79740,102200,100200,97220,114700,109300,89730,82490,87480,65240,105500,97920,63400,75270,82370,85890,94580,81960,84440,105800,81350,61670,63920,64670,79570,73540,62820,85890,52040,66040,53140,66030,73200,60770,64630
"Cincinnati, OH-KY-IN",41460,74090,110100,81590,84810,108400,116000,104300,72090,108400,65170,104900,75030,50230,72930,80500,80610,81660,81830,81400,92510,88550,55830,57540,63270,66630,59420,44360,74360,46340,58240,48240,53890,66370,45940,64130
"Dallas-Fort Worth-Arlington, TX",41020,78670,105800,97700,106900,120100,107200,92460,81370,73550,61550,99890,93120,66830,80030,79770,90600,92000,82110,77760,107500,83900,61400,59580,63140,63270,70450,60180,76750,52850,61040,50700,68560,66880,63510,70020
"Denver-Aurora-Lakewood, CO",47140,82210,112000,104500,92260,129500,120200,82140,79950,89180,71630,100700,90570,74720,77220,84170,92580,100000,88950,81330,115200,85730,54830,58420,62080,80920,66690,65970,82790,60170,65210,50340,72850,71380,52370,68210
