Label,Code,,Label,Code,Label,Code,Label,Code
Mathematics teacher,,,,,,,Treatment therapy,
education,2305,Botany,,3602,Oceanography,5006,professions,6109
Science teacher,,,,,,,Community and public,
education,2308,Molecular biology,,3603,Physics,5007,health,6110
"",,,,,,,Energy and biologically,
Aerospace engineering,2401,Ecology,,3604,Materials science,5008,based therapies,6111
"",,,,,Multi-disciplinary or,,Miscellaneous health,
Biological engineering,2402,Genetics,,3605,general science,5098,medical professions,6199
"",,,,,,,History and philosophy,
Architectural,,,,,Miscellaneous physical,,of science and,
engineering,2403,Microbiology,,3606,sciences,5099,technology,6401
