Label,Code,Label,Code,Label,Code,Label,Code
"",,Pre-law and legal,,,,Visual and performing,
Journalism,1902,studies,3202,Public policy,5402,arts,6003
"",,,,Human services,,,
"",,Composition and,,and community,,"Film, video, and",
Mass media,1903,rhetoric,3302,organization,5403,photographic arts,6005
Advertising and public,,,,,,Art history and,
relations,1904,Humanities,3402,Construction services,5601,criticism,6006
"",,,,Electrical and,,,
Communication,,,,mechanic repairs and,,,
technologies,2001,Library science,3501,technologies,5701,Studio arts,6007
Cosmetology services,,,,,,Video game design,
and culinary arts,2201,Military technologies,3801,Precision production,5801,and development,6008
Linguistics and,,,,,,,
comparative language,,Philosophy and,,Transportation sciences,,,
and literature,2601,religious studies,4801,and technologies,5901,Miscellaneous fine arts,6099
"French, German, Latin,",,,,,,,
and other common,,,,,,,
foreign language,,Theology and religious,,,,,
studies,2602,vocations,4901,Drama and theater arts,6001,United States history,6403
Other foreign languages,2603,Public administration,5401,Music,6002,,
