"Total
popula-
tion",Educational attainment,"Science and
engineering","Science- and
engineering-
related fields",Business,Education,"Arts,
humanities,
and other
degrees",,,
"Less than a
bachelor’s
degree","All bachelor’s
degree holders",,,,,,,,
"",Percent,Earnings,Percent,Earnings,,,,,
"132,800
5,902
1,745
1,836
2,403
2,770
2,486
3,376
2,719
2,107
882
2,573
574
1,333
595
2,671
3,765
1,852
2,048
1,421
1,419
2,398
791
1,921
2,249
2,931
560
2,366
1,048
1,573
3,815","0.1
0.5
1.0
0.6
0.5
0.8
0.4
0.7
0.4
0.6
0.5
0.5
0.8
0.3
0.5
0.5
0.3
0.7
0.4
0.5
0.6
0.7
0.5
0.7
0.6
0.9
0.7
0.5
0.5
0.7
0.5","50
425
1,456
1,203
780
597
323
641
402
998
450
728
979
398
460
701
289
1,013
810
701
772
971
456
997
568
788
592
1,186
650
915
746","0.1
0.5
1.0
0.6
0.5
0.8
0.4
0.7
0.4
0.6
0.5
0.5
0.8
0.3
0.5
0.5
0.3
0.7
0.4
0.5
0.6
0.7
0.5
0.7
0.6
0.9
0.7
0.5
0.5
0.7
0.5","166
995
1,374
1,434
695
1,623
1,097
1,323
1,560
1,027
1,603
1,163
1,403
736
795
1,374
625
1,445
815
1,428
1,069
1,531
1,900
1,879
1,228
1,865
1,959
2,194
2,053
2,197
703","299
2,843
4,328
2,976
2,434
5,174
1,311
2,826
2,000
2,239
3,147
2,885
4,032
1,645
2,629
1,744
1,245
4,198
2,057
3,856
2,649
3,004
2,765
3,477
3,825
3,191
4,973
2,221
2,173
3,161
1,638","373
3,643
5,343
2,656
3,778
6,314
2,552
2,901
3,223
3,008
4,770
3,748
8,543
3,267
3,777
3,356
2,519
5,636
2,336
4,024
3,287
4,506
2,153
7,441
1,537
3,930
5,854
2,973
3,417
5,280
4,748","270
2,200
3,437
4,457
2,433
3,877
3,557
5,282
3,145
3,390
2,590
3,193
4,354
2,030
3,110
2,595
2,079
3,699
2,675
3,281
2,697
5,170
4,414
5,373
3,037
3,712
3,712
5,512
4,363
2,689
1,943","348
2,173
2,877
2,205
3,607
2,328
1,496
4,071
949
3,209
2,995
1,199
3,683
3,614
1,548
2,215
1,936
1,980
2,866
1,821
2,722
3,678
6,667
5,663
3,157
3,036
3,813
9,065
5,265
1,242
3,410","255
1,749
2,531
3,253
2,310
3,014
1,983
2,724
1,684
2,427
1,096
1,767
4,730
1,546
2,829
2,193
1,206
1,965
1,419
1,665
1,551
2,800
3,015
2,658
2,789
3,637
2,652
2,219
2,113
2,945
1,918"
