"","White alone,","Black alone,","Asian alone,",Some Other Race or,Hispanic
Population aged 25 to 64 with a,non-Hispanic,non-Hispanic,non-Hispanic,"Multiracial, non-Hispanic",(of any race)
bachelor’s degree or higher with,,,,,
earnings,Margin of,Margin of,Margin of,Margin of,Margin of
"",Earnings error (±),Earnings error (±),Earnings error (±),Earnings error (±),Earnings error (±)
Total. . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"76,430 149","62,000 362","91,190 563","70,510 797","61,500 356"
cience and Engineering Degrees,,,,,
omputer science . . . . . . . . . . . . . . . . . . . . .,"113,600 2,409","76,950 3,757","120,700 2,408","104,300 4,868","86,080 3,530"
ngineering . . . . . . . . . . . . . . . . . . . . . . . . . . .,"104,400 1,555","86,070 7,068","110,900 6,541","89,810 12,000","69,480 8,901"
ivil engineering . . . . . . . . . . . . . . . . . . . . . .,"104,100 1,803","73,580 8,934","97,950 3,772","91,530 8,235","80,660 4,894"
lectrical engineering . . . . . . . . . . . . . . . . . .,"124,500 1,486","87,920 10,140","129,800 3,076","114,500 15,580","90,580 4,793"
echanical engineering . . . . . . . . . . . . . . . .,"109,400 1,988","85,350 4,646","112,700 3,619","101,900 8,043","84,040 5,376"
athematics . . . . . . . . . . . . . . . . . . . . . . . . . .,"89,790 2,569","72,510 7,238","100,500 4,737","91,560 6,909","65,330 5,263"
iology . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"83,390 1,109","63,750 2,385","100,100 5,563","77,780 5,144","69,300 3,533"
hemistry . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"100,400 2,130","72,210 6,923","101,100 3,937","87,240 11,670","71,490 6,386"
sychology . . . . . . . . . . . . . . . . . . . . . . . . . . .,"64,430 637","56,150 2,314","73,570 2,482","60,480 1,980","54,190 1,400"
conomics . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"107,400 1,438","73,590 6,897","97,230 5,569","100,600 7,658","76,460 4,040"
olitical science . . . . . . . . . . . . . . . . . . . . . . .,"93,760 1,752","63,390 1,773","85,540 6,805","81,140 6,556","71,990 3,421"
ociology  . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"66,250 1,537","57,660 2,549","69,910 6,088","66,310 4,278","60,340 2,938"
ursing  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"78,940 889","80,870 1,765","88,390 3,072","78,550 3,200","70,100 2,593"
ther science and engineering1 . . . . . . . . .,"80,080 355","62,920 1,137","98,440 2,057","72,820 1,560","63,050 996"
usiness Degrees,,,,,
eneral business . . . . . . . . . . . . . . . . . . . . . .,"85,100 905","60,690 2,015","75,650 2,936","80,320 3,975","65,900 3,280"
ccounting . . . . . . . . . . . . . . . . . . . . . . . . . . .,"94,720 1,128","67,070 2,605","78,490 3,572","81,870 3,291","62,550 1,772"
usiness management and,,,,,
adminstration . . . . . . . . . . . . . . . . . . . . . . . .,"82,290 599","61,890 1,127","75,610 2,604","71,910 2,148","59,780 1,644"
arketing  . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"80,700 876","63,060 2,619","71,200 4,219","72,780 4,193","60,910 2,219"
inance  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"105,000 1,019","74,440 3,790","93,120 4,593","100,200 12,670","77,430 4,038"
ther business . . . . . . . . . . . . . . . . . . . . . . . .,"83,460 1,400","63,500 2,656","75,220 4,646","76,730 6,051","61,270 1,640"
ducation Degrees,,,,,
eneral education . . . . . . . . . . . . . . . . . . . . .,"59,870 689","54,740 1,636","58,580 4,667","56,420 2,543","52,110 1,323"
lementary education  . . . . . . . . . . . . . . . . .,"55,100 554","60,010 2,596","51,170 2,302","52,230 2,307","52,920 2,113"
ther education . . . . . . . . . . . . . . . . . . . . . . .,"59,000 492","56,360 1,662","56,240 3,802","55,700 1,775","53,320 1,649"
"rts, Humanities, and Other Degrees",,,,,
ommunications . . . . . . . . . . . . . . . . . . . . . .,"71,290 983","59,010 2,692","74,680 3,871","62,330 3,002","60,240 2,470"
nglish language and literature . . . . . . . . .,"66,990 1,161","61,750 2,781","64,800 3,472","63,070 3,208","56,890 2,545"
iberal arts  . . . . . . . . . . . . . . . . . . . . . . . . . . .,"63,780 1,152","49,270 3,446","60,920 5,993","58,740 5,733","58,410 2,994"
istory . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"76,100 1,141","62,710 2,199","72,590 7,341","68,010 6,212","63,690 2,482"
ine arts . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"54,340 1,803","47,470 5,006","60,970 5,181","55,840 4,477","47,340 3,206"
ommerical art and graphic design  . . . . .,"61,930 1,022","52,240 2,693","63,190 2,653","53,630 2,707","50,870 2,641"
amily and consumer sciences . . . . . . . . . .,"53,020 1,182","51,220 2,286","62,000 3,520","51,860 3,839","49,620 3,152"
"hysical fitness, parks, recreation, and",,,,,
leisure  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"63,520 948","51,530 2,914","64,900 3,710","63,370 4,694","52,080 2,490"
riminal justice and fire protection . . . . . .,"70,370 1,104","57,480 2,290","69,320 4,027","62,320 2,035","57,930 2,397"
ocial work . . . . . . . . . . . . . . . . . . . . . . . . . . .,"56,040 1,051","54,160 2,498","61,930 5,628","53,330 1,904","52,120 1,691"
ther degrees  . . . . . . . . . . . . . . . . . . . . . . . .,"64,550 499","53,780 1,343","60,350 2,190","60,740 1,485","53,090 1,381"
