"",,Educational attainment,,,,
"",,,,,,"Arts,"
Population aged 25 to 64 with earnings and a,,Less than a  All bachelor’s,,Science- and,,"humanities,"
bachelor’s degree or higher,Total,bachelor’s degree degree holders,Science and,engineering-,,and other
"",population,Percent Earnings Percent Earnings,engineering,related fields,Business Education,degrees
otal  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"138,700,000","58.9 40,540 41.1 74,150","84,930","75,850","80,570 57,090","62,740"
"tlanta-Sandy Springs-Alpharetta, GA . . . . . . . . . . . .","4,191,000","58.2 40,740 41.8 76,770","80,030","77,450","83,710 59,440","65,650"
"ustin-Round Rock-Georgetown, TX . . . . . . . . . . . . .","1,665,000","47.9 44,190 52.1 81,100","84,610","77,410","91,170 55,710","65,510"
"altimore-Columbia-Towson, MD . . . . . . . . . . . . . . . . .","1,977,000","55.6 45,110 44.4 84,330","90,360","82,770","91,680 71,170","71,320"
"oston-Cambridge-Newton, MA-NH . . . . . . . . . . . . . .","3,474,000","48.6 46,460 51.4 90,870","95,020","90,970","94,490 72,420","76,720"
"harlotte-Concord-Gastonia, NC-SC . . . . . . . . . . . . . .","1,886,000","59.3 40,430 40.7 74,000","79,350","76,890","86,150 52,540","59,060"
"hicago-Naperville-Elgin, IL-IN-WI . . . . . . . . . . . . . . .","6,530,000","58.9 41,670 41.1 79,740","81,660","77,470","88,480 63,160","68,200"
"incinnati, OH-KY-IN . . . . . . . . . . . . . . . . . . . . . . . . . . . .","1,542,000","63.1 41,460 36.9 74,090","74,790","74,850","84,020 60,200","59,860"
"allas-Fort Worth-Arlington, TX  . . . . . . . . . . . . . . . . .","5,213,000","60.6 41,020 39.4 78,670","80,710","76,120","88,600 61,120","65,870"
"enver-Aurora-Lakewood, CO . . . . . . . . . . . . . . . . . . .","2,117,000","50.6 47,140 49.4 82,210","82,840","75,960","92,250 60,010","70,330"
"etroit-Warren-Dearborn, MI  . . . . . . . . . . . . . . . . . . . .","3,053,000","65.5 40,230 34.5 79,120","78,790","77,870","82,750 58,900","60,960"
"ouston-The Woodlands-Sugar Land, TX . . . . . . . . .","4,761,000","64.0 39,340 36.0 75,690","74,730","81,230","80,320 61,060","62,790"
"as Vegas-Henderson-Paradise, NV  . . . . . . . . . . . . . .","1,612,000","72.9 39,250 27.1 64,500","70,810","79,170","64,910 56,420","60,380"
"os Angeles-Long Beach-Anaheim, CA . . . . . . . . . . .","9,050,000","62.4 37,550 37.6 81,230","84,630","86,740","84,580 64,720","69,430"
"iami-Fort Lauderdale-Pompano Beach, FL . . . . . . .","4,439,000","63.0 35,690 37.0 63,920","65,740","67,300","67,280 53,830","59,440"
"inneapolis-St. Paul-Bloomington, MN-WI  . . . . . . . .","2,535,000","54.9 47,410 45.1 79,530","81,300","77,090","90,510 61,090","67,020"
"ew York-Newark-Jersey City, NY-NJ-PA  . . . . . . . . .","13,840,000","56.1 41,020 43.9 86,790","92,140","88,270","92,770 72,730","76,220"
"rlando-Kissimmee-Sanford, FL  . . . . . . . . . . . . . . . . .","1,923,000","63.1 37,710 36.9 61,460","66,990","65,960","65,610 48,710","52,940"
"hiladelphia-Camden-Wilmington, PA-NJ-DE-MD . .","4,356,000","57.7 42,820 42.3 80,390","84,020","80,340","88,900 68,560","67,190"
"hoenix-Mesa-Chandler, AZ . . . . . . . . . . . . . . . . . . . . .","3,422,000","65.1 42,800 34.9 72,370","75,670","72,670","80,650 54,260","62,720"
"ittsburgh, PA  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","1,717,000","61.9 42,130 38.1 71,040","70,950","74,720","72,990 64,380","60,720"
"ortland-Vancouver-Hillsboro, OR-WA . . . . . . . . . . . .","1,808,000","58.3 44,090 41.7 79,660","84,060","82,340","89,640 62,850","63,770"
"iverside-San Bernardino-Ontario, CA . . . . . . . . . . . .","3,052,000","75.9 40,730 24.1 73,810","71,630","81,240","76,570 74,740","64,410"
"acramento-Roseville-Folsom, CA . . . . . . . . . . . . . . . .","1,661,000","63.8 43,780 36.2 84,430","84,230","95,750","86,330 69,200","71,250"
"an Antonio-New Braunfels, TX . . . . . . . . . . . . . . . . . .","1,745,000","67.3 36,640 32.7 65,300","69,180","72,350","69,800 55,360","58,990"
"an Diego-Chula Vista-Carlsbad, CA . . . . . . . . . . . . . .","2,268,000","57.0 41,990 43.0 84,380","89,010","91,440","82,510 53,630","70,930"
"an Francisco-Oakland-Berkeley, CA . . . . . . . . . . . . .","3,364,000","46.4 45,020 53.6 114,800","121,800","104,500","119,700 71,870","92,240"
"eattle-Tacoma-Bellevue, WA . . . . . . . . . . . . . . . . . . . .","2,872,000","53.1 50,940 46.9 98,000","106,500","85,440","95,570 72,240","76,080"
"t. Louis, MO-IL . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","1,961,000","61.9 41,420 38.1 72,350","76,660","73,820","83,050 55,330","60,270"
"ampa-St. Petersburg-Clearwater, FL . . . . . . . . . . . . .","2,396,000","65.0 38,830 35.0 67,880","74,550","72,390","76,910 51,790","56,800"
"ashington-Arlington-Alexandria,",,,,,,
DC-VA-MD-WV  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"4,390,000","45.5 44,800 54.5 100,200","105,400","90,030","102,800 70,590","87,640"
