"",Low-Cost Plan,Low-Cost Plan,Moderate-Cost Plan,Moderate-Cost Plan,Liberal Plan,Liberal Plan
Age-Sex Groups2,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3
Child:,,,,,,
1 year,$36.30,$157.40,$41.00,$177.50,$49.90,$216.20
2-3 years,$38.00,$164.90,$45.90,$198.80,$55.70,$241.50
4-5 years,$39.50,$171.30,$48.60,$210.80,$59.10,$256.10
6-8 years,$56.80,$246.10,$66.90,$290.00,$78.40,$339.80
9-11 years,$59.90,$259.40,$76.80,$332.80,$89.70,$388.50
Female:,,,,,,
12-13 years,$59.60,$258.10,$70.70,$306.40,$88.10,$381.70
14-18 years,$59.90,$259.50,$71.20,$308.60,$88.20,$382.20
19-50 years,$61.20,$265.10,$74.20,$321.70,$94.80,$410.70
51-70 years,$59.40,$257.50,$73.20,$317.10,$87.90,$380.70
71+ years,$59.30,$257.00,$72.70,$315.00,$86.80,$376.10
Male:,,,,,,
12-13 years,$69.90,$302.90,$86.70,$375.50,$101.70,$440.80
14-18 years,$71.30,$309.00,$89.00,$385.60,$103.80,$449.70
19-50 years,$70.40,$304.90,$88.10,$381.80,$107.30,$464.80
51-70 years,$66.10,$286.30,$82.70,$358.50,$98.90,$428.50
71+ years,$65.60,$284.20,$80.50,$348.70,$98.60,$427.30
