"",Low-Cost Plan,Low-Cost Plan,Moderate-Cost Plan,Moderate-Cost Plan,Liberal Plan,Liberal Plan
Age-Sex Groups2,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3
Child:,,,,,,
1 year,$36.30,$157.30,$40.90,$177.30,$49.80,$215.70
2-3 years,$38.00,$164.50,$45.80,$198.40,$55.70,$241.30
4-5 years,$39.50,$171.10,$48.50,$210.30,$58.90,$255.40
6-8 years,$57.10,$247.30,$66.90,$289.80,$78.20,$338.80
9-11 years,$59.80,$259.20,$76.60,$332.10,$89.40,$387.50
Female:,,,,,,
12-13 years,$59.50,$257.80,$70.60,$305.80,$88.10,$381.90
14-18 years,$59.90,$259.70,$71.40,$309.50,$88.20,$382.30
19-50 years,$61.30,$265.40,$74.40,$322.50,$94.80,$410.90
51-70 years,$59.40,$257.40,$73.20,$317.10,$87.80,$380.30
71+ years,$59.50,$257.70,$72.80,$315.20,$86.70,$375.80
Male:,,,,,,
12-13 years,$70.10,$303.80,$86.90,$376.50,$101.80,$441.30
14-18 years,$71.40,$309.50,$89.10,$386.10,$104.00,$450.60
19-50 years,$70.50,$305.70,$88.30,$382.50,$107.60,$466.10
51-70 years,$66.10,$286.50,$83.00,$359.60,$98.90,$428.60
71+ years,$65.90,$285.50,$80.70,$349.60,$98.70,$427.50
