"",Low-Cost Plan,Low-Cost Plan,Moderate-Cost Plan,Moderate-Cost Plan,Liberal Plan,Liberal Plan
Age-Sex Groups2,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3
Child:,,,,,,
1 year,$37.00,$160.20,$41.70,$180.60,$50.40,$218.50
2-3 years,$38.60,$167.40,$46.20,$200.10,$56.30,$244.10
4-5 years,$39.90,$173.10,$49.30,$213.70,$59.60,$258.10
6-8 years,$58.50,$253.40,$67.90,$294.40,$79.20,$343.30
9-11 years,$60.40,$261.80,$77.90,$337.50,$90.90,$393.70
Female:,,,,,,
12-13 years,$60.20,$260.90,$71.80,$310.90,$89.60,$388.10
14-18 years,$60.60,$262.80,$72.40,$313.60,$89.40,$387.40
19-50 years,$61.90,$268.10,$75.40,$326.60,$95.90,$415.70
51-70 years,$60.10,$260.60,$74.20,$321.40,$89.00,$385.70
71+ years,$60.10,$260.60,$73.90,$320.30,$88.20,$382.10
Male:,,,,,,
12-13 years,$71.00,$307.50,$87.80,$380.50,$103.00,$446.30
14-18 years,$72.20,$312.90,$90.30,$391.40,$105.90,$458.70
19-50 years,$71.30,$308.90,$89.40,$387.40,$108.90,$472.00
51-70 years,$67.00,$290.20,$84.30,$365.20,$100.50,$435.30
71+ years,$66.50,$288.00,$81.70,$354.20,$100.40,$435.20
