"",Low-Cost Plan,Low-Cost Plan,Moderate-Cost Plan,Moderate-Cost Plan,Liberal Plan,Liberal Plan
Age-Sex Groups2,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3
Child:,,,,,,
1 year,$36.30,$157.40,$41.00,$177.50,$49.90,$216.20
2-3 years,$38.30,$165.80,$46.00,$199.40,$56.00,$242.60
4-5 years,$39.70,$172.00,$48.80,$211.60,$59.40,$257.50
6-8 years,$57.40,$248.80,$67.40,$291.90,$78.90,$342.00
9-11 years,$60.30,$261.30,$77.10,$334.20,$90.00,$389.90
Female:,,,,,,
12-13 years,$59.90,$259.60,$71.00,$307.60,$88.80,$384.60
14-18 years,$60.20,$260.80,$72.00,$312.20,$88.90,$385.40
19-50 years,$61.40,$266.10,$74.80,$324.20,$95.30,$413.10
51-70 years,$59.70,$258.70,$73.70,$319.50,$88.40,$383.00
71+ years,$59.60,$258.40,$73.00,$316.50,$87.20,$377.90
Male:,,,,,,
12-13 years,$70.40,$304.90,$87.30,$378.30,$102.30,$443.10
14-18 years,$71.70,$310.60,$89.90,$389.40,$104.50,$452.70
19-50 years,$70.70,$306.40,$88.80,$384.80,$108.20,$468.90
51-70 years,$66.40,$287.70,$83.50,$361.60,$99.40,$430.90
71+ years,$66.00,$286.10,$80.90,$350.60,$99.50,$431.20
