Group,Sex,Age,Plan.Low Cost.Weekly,Plan.Low Cost.Monthly,Plan.Moderate Cost.Weekly,Plan.Moderate Cost.Monthly,Plan.Liberal Cost.Weekly,Plan.Liberal Cost.Monthly
Child,Child,1 year,36.3,157.3,40.9,177.3,49.8,215.7
Child,Child,2-3 years,38.0,164.5,45.8,198.4,55.7,241.3
Child,Child,4-5 years,39.5,171.1,48.5,210.3,58.9,255.4
Child,Child,6-8 years,57.1,247.3,66.9,289.8,78.2,338.8
Child,Child,9-11 years,59.8,259.2,76.6,332.1,89.4,387.5
Teen,Female,12-13 years,59.5,257.8,70.6,305.8,88.1,381.9
Teen,Female,14-18 years,59.9,259.7,71.4,309.5,88.2,382.3
Adult,Female,19-50 years,61.3,265.4,74.4,322.5,94.8,410.9
Adult,Female,51-70 years,59.4,257.4,73.2,317.1,87.8,380.3
Adult,Female,71+ years,59.5,257.7,72.8,315.2,86.7,375.8
Teen,Male,12-13 years,70.1,303.8,86.9,376.5,101.8,441.3
Teen,Male,14-18 years,71.4,309.5,89.1,386.1,104.0,450.6
Adult,Male,19-50 years,70.5,305.7,88.3,382.5,107.6,466.1
Adult,Male,51-70 years,66.1,286.5,83.0,359.6,98.9,428.6
Adult,Male,71+ years,65.9,285.5,80.7,349.6,98.7,427.5
