Group,Sex,Age,Plan.Low Cost.Weekly,Plan.Low Cost.Monthly,Plan.Moderate Cost.Weekly,Plan.Moderate Cost.Monthly,Plan.Liberal Cost.Weekly,Plan.Liberal Cost.Monthly
Child,Child,1 year,36.3,157.4,41.0,177.5,49.9,216.2
Child,Child,2-3 years,38.3,165.8,46.0,199.4,56.0,242.6
Child,Child,4-5 years,39.7,172.0,48.8,211.6,59.4,257.5
Child,Child,6-8 years,57.4,248.8,67.4,291.9,78.9,342.0
Child,Child,9-11 years,60.3,261.3,77.1,334.2,90.0,389.9
Teen,Female,12-13 years,59.9,259.6,71.0,307.6,88.8,384.6
Teen,Female,14-18 years,60.2,260.8,72.0,312.2,88.9,385.4
Adult,Female,19-50 years,61.4,266.1,74.8,324.2,95.3,413.1
Adult,Female,51-70 years,59.7,258.7,73.7,319.5,88.4,383.0
Adult,Female,71+ years,59.6,258.4,73.0,316.5,87.2,377.9
Teen,Male,12-13 years,70.4,304.9,87.3,378.3,102.3,443.1
Teen,Male,14-18 years,71.7,310.6,89.9,389.4,104.5,452.7
Adult,Male,19-50 years,70.7,306.4,88.8,384.8,108.2,468.9
Adult,Male,51-70 years,66.4,287.7,83.5,361.6,99.4,430.9
Adult,Male,71+ years,66.0,286.1,80.9,350.6,99.5,431.2
