Group,Sex,Age,Plan.Low Cost.Weekly,Plan.Low Cost.Monthly,Plan.Moderate Cost.Weekly,Plan.Moderate Cost.Monthly,Plan.Liberal Cost.Weekly,Plan.Liberal Cost.Monthly
Child,Child,1 year,37.1,160.8,41.8,181.1,50.6,219.4
Child,Child,2-3 years,38.7,167.7,46.3,200.7,56.5,244.8
Child,Child,4-5 years,40.1,173.6,49.5,214.4,59.8,259.0
Child,Child,6-8 years,58.9,255.1,68.1,295.3,79.5,344.5
Child,Child,9-11 years,60.5,262.3,78.1,338.4,91.2,395.2
Teen,Female,12-13 years,60.4,261.8,72.0,311.9,89.9,389.7
Teen,Female,14-18 years,60.9,263.9,72.6,314.7,89.8,388.9
Adult,Female,19-50 years,62.1,269.3,75.7,328.0,96.3,417.3
Adult,Female,51-70 years,60.3,261.5,74.4,322.3,89.3,387.0
Adult,Female,71+ years,60.4,261.5,74.1,321.3,88.4,383.1
Teen,Male,12-13 years,71.3,308.9,88.3,382.6,103.5,448.4
Teen,Male,14-18 years,72.5,314.4,90.7,393.1,106.4,461.1
Adult,Male,19-50 years,71.6,310.4,89.7,388.8,109.4,474.1
Adult,Male,51-70 years,67.2,291.3,84.6,366.4,100.8,436.9
Adult,Male,71+ years,66.8,289.3,82.1,355.6,100.7,436.4
