"",Low-Cost Plan,Low-Cost Plan,Moderate-Cost Plan,Moderate-Cost Plan,Liberal Plan,Liberal Plan
Age-Sex Groups2,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3
Child:,,,,,,
1 year,$37.10,$160.80,$41.80,$181.10,$50.60,$219.40
2-3 years,$38.70,$167.70,$46.30,$200.70,$56.50,$244.80
4-5 years,$40.10,$173.60,$49.50,$214.40,$59.80,$259.00
6-8 years,$58.90,$255.10,$68.10,$295.30,$79.50,$344.50
9-11 years,$60.50,$262.30,$78.10,$338.40,$91.20,$395.20
Female:,,,,,,
12-13 years,$60.40,$261.80,$72.00,$311.90,$89.90,$389.70
14-18 years,$60.90,$263.90,$72.60,$314.70,$89.80,$388.90
19-50 years,$62.10,$269.30,$75.70,$328.00,$96.30,$417.30
51-70 years,$60.30,$261.50,$74.40,$322.30,$89.30,$387.00
71+ years,$60.40,$261.50,$74.10,$321.30,$88.40,$383.10
Male:,,,,,,
12-13 years,$71.30,$308.90,$88.30,$382.60,$103.50,$448.40
14-18 years,$72.50,$314.40,$90.70,$393.10,$106.40,$461.10
19-50 years,$71.60,$310.40,$89.70,$388.80,$109.40,$474.10
51-70 years,$67.20,$291.30,$84.60,$366.40,$100.80,$436.90
71+ years,$66.80,$289.30,$82.10,$355.60,$100.70,$436.40
