"",Low-Cost Plan,Low-Cost Plan,Moderate-Cost Plan,Moderate-Cost Plan,Liberal Plan,Liberal Plan
Age-Sex Groups2,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3,Weekly Cost3,Monthly Cost3
Child:,,,,,,
1 year,$36.40,$157.80,$41.10,$178.10,$49.90,$216.40
2-3 years,$38.30,$166.10,$46.00,$199.30,$56.00,$242.70
4-5 years,$39.70,$172.20,$48.90,$212.00,$59.40,$257.60
6-8 years,$57.70,$250.10,$67.50,$292.50,$79.00,$342.40
9-11 years,$60.30,$261.50,$77.30,$334.80,$90.10,$390.60
Female:,,,,,,
12-13 years,$60.00,$259.90,$71.10,$308.10,$88.90,$385.40
14-18 years,$60.30,$261.30,$72.10,$312.60,$89.00,$385.80
19-50 years,$61.50,$266.50,$75.00,$324.80,$95.50,$413.60
51-70 years,$59.80,$259.10,$73.80,$320.00,$88.50,$383.40
71+ years,$59.80,$259.00,$73.20,$317.30,$87.40,$378.60
Male:,,,,,,
12-13 years,$70.60,$305.80,$87.40,$378.90,$102.40,$443.90
14-18 years,$71.90,$311.50,$90.00,$390.10,$104.80,$454.20
19-50 years,$70.90,$307.20,$89.00,$385.50,$108.50,$469.90
51-70 years,$66.50,$288.30,$83.70,$362.70,$99.70,$431.90
71+ years,$66.20,$286.70,$81.10,$351.50,$99.80,$432.30
