Total population,Men,Women,"Women’s earnings
as a percentage
of men’s earnings",,,,
Earnings,"Margin of
error (±)",Earnings,"Margin of
error (±)",Earnings,"Margin of
error (±)",Estimate,"Margin of
error (±)"
"74,150
108,500
100,600
99,660
121,600
106,200
86,560
81,550
94,680
62,270
101,400
86,380
63,660
79,600
77,910
80,120
84,880
75,600
75,930
99,900
77,160
58,000
54,900
58,120
67,840
65,060
61,380
73,560
53,450
59,770
52,850
61,580
64,690
55,060
62,100","166
1,597
1,031
1,702
1,239
957
1,476
707
2,114
488
916
1,325
837
813
460
711
1,051
581
799
1,779
882
731
550
478
1,017
927
1,044
1,006
1,303
1,049
952
691
809
838
420","89,300
115,500
103,300
101,900
123,800
108,000
99,050
96,620
103,000
76,090
107,300
94,950
75,030
90,890
92,050
90,080
100,000
87,090
89,420
106,400
91,000
68,420
64,380
66,560
75,400
75,850
70,850
81,270
60,900
69,930
70,440
65,120
74,250
60,090
69,830","358
1,749
1,409
1,048
1,203
1,584
3,109
2,112
1,802
1,168
1,277
2,075
3,295
1,569
425
1,351
1,751
950
2,472
1,202
1,361
2,078
2,283
897
1,336
1,488
3,288
1,116
1,630
1,932
6,831
1,259
1,150
2,905
904","63,230
91,990
76,160
86,590
105,200
92,380
73,500
72,200
80,180
58,490
84,750
77,090
59,470
77,640
65,150
66,690
75,010
63,640
66,090
79,940
64,900
55,030
54,070
54,600
64,130
61,150
55,790
62,980
49,530
54,350
51,590
55,600
54,150
54,380
55,740","132
2,082
6,168
3,583
2,719
3,243
1,814
961
3,164
806
2,198
1,463
1,082
784
430
1,431
1,155
588
1,402
1,713
1,218
568
544
481
780
820
1,988
1,455
1,767
1,047
1,157
1,458
830
743
639","70.8
79.6
73.7
85.0
85.0
85.5
74.2
74.7
77.8
76.9
79.0
81.2
79.3
85.4
70.8
74.0
75.0
73.1
73.9
75.1
71.3
80.4
84.0
82.0
85.1
80.6
78.7
77.5
81.3
77.7
73.2
85.4
72.9
90.5
79.8","0.3
2.2
6.1
3.6
2.3
3.3
3.0
1.9
3.4
1.6
2.3
2.3
3.8
1.7
0.6
1.9
1.7
1.0
2.6
1.8
1.7
2.6
3.1
1.3
1.8
1.9
4.6
2.1
3.6
2.6
7.3
2.8
1.6
4.5
1.4"
