Label Code,,Label,Code,Label,Code,Label,Code
General agriculture,1100,Biomedical engineering,2404,Pharmacology,3607,Applied biotechnology,5101
"",,,,,,Nuclear and,
Agriculture production,,,,,,industrial radiology,
and management,1101,Chemical engineering,2405,Physiology,3608,technologies,5102
"",,,,,,Educational,
Agricultural economics,1102,Computer engineering,2407,Zoology,3609,psychology,5201
"",,Engineering,,,,,
"",,"mechanics,",,,,,
Animal sciences,1103,"physics, and science",2409,Epidemiology,3610,Clinical psychology,5202
"",,Environmental,,,,Counseling,
Food science,1104,engineering,2410,Neuroscience,3611,psychology,5203
"",,Geological and,,,,,
Plant science and,,geophysical,,,,Experimental,
agronomy,1105,engineering,2411,Miscellaneous biology,3699,psychology,5204
"",,Industrial and,,,,Industrial and,
"",,manufacturing,,,,organizational,
Soil science,1106,engineering,2412,Applied mathematics,3701,psychology,5205
Miscellaneous,,Materials engineering,,,,,
agriculture,1199,and materials science,2413,Statistics,3702,Social psychology,5206
"",,Metallurgical,,,,Miscellaneous,
Environmental science,1301,engineering,2415,Decision science,3705,psychology,5299
"",,Mining and mineral,,Miscellaneous,,,
Forestry,1302,engineering,2416,mathematics,3799,General social sciences,5500
Natural resources,,Naval architecture and,,Multi/Interdisciplinary,,Anthropology and,
management,1303,marine engineering,2417,studies,4000,archeology,5502
"",,,,Intercultural and,,,
Architecture,1401,Nuclear engineering,2418,international studies,4001,Criminology,5503
"Area, ethnic, and",,,,,,,
civilization studies,1501,Petroleum engineering,2419,Nutrition sciences,4002,Geography,5504
Computer and,,,,,,,
information,,,,Accounting and,,,
systems-general,2100,Operations research,2420,computer science,4004,International relations,5505
"",,Miscellaneous,,Mathematics and,,Miscellaneous social,
Computer programming,2101,engineering,2499,computer science,4005,sciences,5599
"",,Engineering,,Cognitive science and,,General medical and,
Computer systems,2103,technologies,2500,biopsychology,4006,health services,6100
"",,Engineering,,,,Communication,
"",,and industrial,,Interdisciplinary social,,disorders sciences,
Data processing,2104,management,2501,sciences,4007,and services,6102
"",,,,,,Health and medical,
"",,Electrical engineering,,,,administrative,
Information sciences,2105,technology,2502,Physical sciences,5000,services,6103
Computer information,,,,,,,
management and,,Industrial production,,Astronomy and,,Medical assisting,
security,2106,technologies,2503,astrophysics,5001,services,6104
Computer,,,,,,,
networking and,,Mechanical engineering,,Atmospheric sciences,,Medical technologies,
telecommunications,2107,related technologies,2504,and meteorology,5002,technicians,6105
"",,Miscellaneous,,,,Health and medical,
Miscellaneous computer,,engineering,,Geology and Earth,,preparatory,
sciences,2199,technologies,2599,science,5004,programs,6106
"",,,,,,"Pharmacy,",
"",,,,,,pharmaceutical,
Computer teacher,,,,,,"sciences, and",
education,2302,Biochemical sciences,3601,Geosciences,5005,administration,6108
