"","White alone,","Black alone,","Asian alone,",Some Other Race or,Hispanic
"",non-Hispanic,non-Hispanic,non-Hispanic,"Multiracial, non-Hispanic",(of any race)
Population aged 25 and over with a,,,,,
bachelor’s degree or higher,Percent,Percent,Percent,Percent,Percent
"",Margin of margin of,Margin of margin of,Margin of margin of,Margin of margin of,Margin of margin of
"",error (±) error (±),error (±) error (±),error (±) error (±),error (±) error (±),error (±) error (±)
Total. . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"174,000 0.1","55,150 0.1","38,350 Z","38,920 Z","68,370 0.1"
cience and Engineering Degrees,,,,,
omputer science . . . . . . . . . . . . . . . . . . . . .,"14,490 0.7","9,240 0.5","13,190 0.6","5,665 0.3","7,478 0.4"
ngineering . . . . . . . . . . . . . . . . . . . . . . . . . . .,"12,520 0.9","5,206 0.5","7,419 0.8","3,211 0.3","7,842 0.8"
ivil engineering . . . . . . . . . . . . . . . . . . . . . .,"12,070 0.9","3,680 0.5","5,670 0.7","3,412 0.4","5,481 0.7"
lectrical engineering . . . . . . . . . . . . . . . . . .,"13,190 0.7","5,797 0.4","11,970 0.6","3,700 0.2","7,424 0.4"
echanical engineering . . . . . . . . . . . . . . . .,"17,630 0.9","4,284 0.3","8,985 0.6","4,516 0.3","6,851 0.5"
athematics . . . . . . . . . . . . . . . . . . . . . . . . . .,"14,280 0.8","4,571 0.4","7,226 0.7","3,259 0.3","4,106 0.4"
iology . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"22,800 0.6","10,650 0.4","11,020 0.4","7,213 0.3","9,163 0.3"
hemistry . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"13,100 0.9","5,238 0.6","7,003 0.7","3,211 0.4","4,664 0.5"
sychology . . . . . . . . . . . . . . . . . . . . . . . . . . .,"24,640 0.4","13,070 0.3","8,452 0.2","8,997 0.2","13,530 0.3"
conomics . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"15,880 0.6","6,279 0.4","8,174 0.4","5,146 0.3","6,819 0.4"
olitical science . . . . . . . . . . . . . . . . . . . . . . .,"20,890 0.7","9,755 0.5","6,545 0.4","5,137 0.3","7,095 0.4"
ociology  . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"12,720 0.7","8,766 0.6","4,494 0.4","4,348 0.4","6,174 0.4"
ursing  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"26,840 0.4","12,850 0.3","11,330 0.3","6,912 0.2","12,340 0.3"
ther science and engineering . . . . . . . . . .,"55,470 0.2","22,970 0.2","25,280 0.2","13,550 0.1","25,920 0.2"
usiness Degrees,,,,,
eneral business . . . . . . . . . . . . . . . . . . . . . .,"30,250 0.5","12,430 0.3","10,710 0.3","7,426 0.2","11,890 0.3"
ccounting . . . . . . . . . . . . . . . . . . . . . . . . . . .,"21,080 0.5","10,560 0.3","10,690 0.3","5,662 0.2","9,740 0.3"
usiness management and,,,,,
adminstration . . . . . . . . . . . . . . . . . . . . . . . .,"34,230 0.4","15,520 0.3","10,090 0.2","8,528 0.2","15,940 0.3"
arketing  . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"19,780 0.6","7,833 0.4","4,884 0.3","4,932 0.3","7,866 0.4"
inance  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"18,060 0.6","8,432 0.5","7,481 0.5","4,542 0.3","6,629 0.4"
ther business degrees . . . . . . . . . . . . . . . .,"20,030 0.7","9,531 0.5","7,297 0.4","6,165 0.3","11,610 0.6"
ducation Degrees,,,,,
eneral education . . . . . . . . . . . . . . . . . . . . .,"30,890 0.5","11,080 0.4","6,873 0.2","6,361 0.2","11,210 0.3"
lementary education  . . . . . . . . . . . . . . . . .,"27,070 0.4","6,924 0.3","4,798 0.2","4,340 0.2","6,787 0.3"
ther education degrees . . . . . . . . . . . . . . .,"29,910 0.4","8,465 0.2","5,397 0.2","5,960 0.2","8,547 0.2"
"rts, Humanities, and Other Degrees",,,,,
ommunications . . . . . . . . . . . . . . . . . . . . . .,"21,790 0.6","8,682 0.5","5,422 0.3","5,083 0.3","7,528 0.4"
nglish language and literature . . . . . . . . .,"18,750 0.5","7,863 0.3","7,023 0.3","4,721 0.2","7,766 0.3"
iberal arts  . . . . . . . . . . . . . . . . . . . . . . . . . . .,"11,930 0.9","5,251 0.5","4,807 0.5","3,956 0.4","5,558 0.5"
istory . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"21,420 0.5","4,669 0.3","4,553 0.3","4,479 0.3","4,974 0.3"
ine arts . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"15,230 0.9","4,994 0.5","4,465 0.5","4,034 0.4","5,929 0.6"
ommerical art and graphic design  . . . . .,"14,380 1.0","4,573 0.5","4,548 0.6","3,818 0.5","5,766 0.6"
amily and consumer sciences . . . . . . . . . .,"10,940 1.0","4,103 0.6","3,940 0.5","2,742 0.4","4,881 0.7"
"hysical fitness, parks, recreation, and",,,,,
leisure  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"13,690 0.8","6,309 0.6","3,336 0.3","3,723 0.4","6,031 0.6"
riminal justice and fire protection . . . . . .,"18,080 0.7","11,110 0.6","2,922 0.2","4,771 0.3","8,936 0.5"
ocial work . . . . . . . . . . . . . . . . . . . . . . . . . . .,"12,520 0.8","6,772 0.8","3,561 0.4","3,693 0.4","5,445 0.6"
ther degrees  . . . . . . . . . . . . . . . . . . . . . . . .,"42,910 0.4","16,260 0.2","11,090 0.2","10,270 0.2","15,030 0.2"
