"",,Science- and,,
Population aged 25 to,Science and,"Arts, humanities, engineering-related Business",Education,
64 with a bachelor’s,engineering,and other fields,,
degree or higher,,,,
with earnings,Margin of,Margin of Margin of,Margin of,Margin of
"",Earnings error (±),Earnings error (±) Earnings error (±),Earnings error (±),Earnings error (±)
Total  . . . . . . . . . . . . . .,"84,930 299","75,850 373 80,570","270 57,090","348 62,740 255"
Alabama  . . . . . . . . . . . .,"76,220 2,047","68,780 3,166 68,180 3,877","51,900 1,556","53,000 1,432"
Alaska. . . . . . . . . . . . . . .,"83,530 5,981","72,910 10,130 90,330 12,510","72,890 5,221","69,000 7,756"
Arizona  . . . . . . . . . . . . .,"80,290 2,247","73,200 3,323 77,310 3,173","53,110 1,254","61,120 1,157"
Arkansas . . . . . . . . . . . .,"69,740 3,425","69,080 4,950 71,110 5,064","51,000 1,543","49,910 2,405"
California . . . . . . . . . . . .,"101,500 503","92,860 1,585 88,130 2,154","66,430 3,030","72,720 982"
Colorado . . . . . . . . . . . .,"84,060 1,865","75,610 2,852 86,490 1,833","54,740 1,962","64,130 1,859"
Connecticut  . . . . . . . . .,"93,100 2,313","82,070 2,882 93,650 3,699","73,480 3,136","71,310 2,075"
Delaware . . . . . . . . . . . .,"79,740 4,967","76,850 5,442 78,260 8,025","64,460 4,320","61,240 4,161"
District of Columbia  . .,"105,300 4,168","88,110 5,987 110,400 11,860","76,190 15,360","92,820 4,176"
Florida . . . . . . . . . . . . . .,"70,760 1,370","68,270 2,371 69,300 1,822","51,420","579 55,260 1,028"
Georgia  . . . . . . . . . . . . .,"80,330 1,445","72,590 2,528 79,000 2,217","58,550 1,811","61,870 1,229"
Hawaii. . . . . . . . . . . . . . .,"77,090 2,663","83,140 5,738 68,090 5,154","61,380 2,889","61,010 4,298"
Idaho  . . . . . . . . . . . . . . .,"70,650 4,025","61,690 3,684 76,330 6,050","51,940 2,993","51,720 2,246"
Illinois . . . . . . . . . . . . . . .,"84,600 1,425","74,930 1,436 86,040 1,489","61,200 1,155","65,550 1,504"
Indiana . . . . . . . . . . . . . .,"74,720 2,115","72,390 1,896 73,610 2,185","51,580 1,024","52,680 1,429"
